ncName,ncID,transID
RP11-67L3.5,NONHSAG059016,NONHSAT003396.2
RP11-67L3.5,NONHSAG059016,NONHSAT003397.2
RP11-67L3.5,NONHSAG059016,NONHSAT003398.2
RP11-67L3.5,NONHSAG059016,NONHSAT225054.1
RP11-67L3.5,NONHSAG059016,NONHSAT225055.1
RP11-67L3.5,NONHSAG059016,NONHSAT225056.1
RP4-802A10.1,NONHSAG001660,NONHSAT225104.1
GNG12-AS1,NONHSAG001765,NONHSAT003808.2
GNG12-AS1,NONHSAG001765,NONHSAT003809.2
GNG12-AS1,NONHSAG001765,NONHSAT003810.2
GNG12-AS1,NONHSAG001765,NONHSAT003812.2
GNG12-AS1,NONHSAG001765,NONHSAT003813.2
GNG12-AS1,NONHSAG001765,NONHSAT003817.2
GNG12-AS1,NONHSAG001765,NONHSAT003819.2
GNG12-AS1,NONHSAG001765,NONHSAT149119.1
GNG12-AS1,NONHSAG001765,NONHSAT225121.1
GNG12-AS1,NONHSAG001765,NONHSAT225122.1
GNG12-AS1,NONHSAG001765,NONHSAT225123.1
GNG12-AS1,NONHSAG001765,NONHSAT225124.1
RP4-694A7.2,NONHSAG001774,NONHSAT003825.2
RP4-694A7.2,NONHSAG001774,NONHSAT149125.1
RP4-694A7.2,NONHSAG001774,NONHSAT225129.1
ZRANB2-AS1,NONHSAG001812,NONHSAT003877.2
ZRANB2-AS1,NONHSAG001812,NONHSAT003878.2
RP5-1027O11.1,NONHSAG001999,NONHSAT004308.2
RP5-1027O11.1,NONHSAG001999,NONHSAT004309.2
RP5-1027O11.1,NONHSAG001999,NONHSAT004310.2
RP5-1027O11.1,NONHSAG001999,NONHSAT151886.1
LOC100131564,NONHSAG002086,NONHSAT004491.2
LOC100131564,NONHSAG002086,NONHSAT004492.2
LOC100131564,NONHSAG002086,NONHSAT004493.2
LOC100131564,NONHSAG002086,NONHSAT004494.2
LOC100131564,NONHSAG002086,NONHSAT004495.2
LOC100131564,NONHSAG002086,NONHSAT004496.2
LOC100131564,NONHSAG002086,NONHSAT004497.2
LOC100131564,NONHSAG002086,NONHSAT004498.2
LOC100131564,NONHSAG002086,NONHSAT004499.2
LOC100131564,NONHSAG002086,NONHSAT004500.2
LOC100131564,NONHSAG002086,NONHSAT004501.2
LOC100131564,NONHSAG002086,NONHSAT004502.2
LOC100131564,NONHSAG002086,NONHSAT004503.2
LOC100131564,NONHSAG002086,NONHSAT004504.2
LOC100131564,NONHSAG002086,NONHSAT004506.2
LOC100131564,NONHSAG002086,NONHSAT004509.2
LOC100131564,NONHSAG002086,NONHSAT004510.2
LOC100131564,NONHSAG002086,NONHSAT004511.2
LOC100131564,NONHSAG002086,NONHSAT004513.2
LOC100131564,NONHSAG002086,NONHSAT004514.2
LOC100131564,NONHSAG002086,NONHSAT004515.2
LOC100131564,NONHSAG002086,NONHSAT004517.2
LOC100131564,NONHSAG002086,NONHSAT004518.2
LOC100131564,NONHSAG002086,NONHSAT004519.2
LOC100131564,NONHSAG002086,NONHSAT004526.2
LOC100131564,NONHSAG002086,NONHSAT004527.2
LOC100131564,NONHSAG002086,NONHSAT004528.2
LOC100131564,NONHSAG002086,NONHSAT004529.2
LOC100131564,NONHSAG002086,NONHSAT226897.1
LOC100131564,NONHSAG002086,NONHSAT226902.1
LOC100131564,NONHSAG002086,NONHSAT226903.1
LOC100131564,NONHSAG002086,NONHSAT226904.1
LOC100131564,NONHSAG002086,NONHSAT226905.1
