ncName,ncID,transID
Gm12750,NONMMUG030202,NONMMUT148617.1
Gm12750,NONMMUG030202,NONMMUT148618.1
Gm12750,NONMMUG030202,NONMMUT148619.1
Gm12752,NONMMUG028842,NONMMUT046649.2
Gm12754,NONMMUG028843,NONMMUT046650.2
Gm12756,NONMMUG037735,NONMMUT060711.2
Gm12758,NONMMUG037717,NONMMUT060683.2
Gm12758,NONMMUG037717,NONMMUT124923.1
Gm12758,NONMMUG037717,NONMMUT150894.1
Gm12762,NONMMUG037716,NONMMUT060682.2
Gm12764,NONMMUG037724,NONMMUT060692.2
Gm12764,NONMMUG037724,NONMMUT060693.2
Gm12764,NONMMUG037724,NONMMUT060694.2
Gm12764,NONMMUG037724,NONMMUT124927.1
Gm12764,NONMMUG037724,NONMMUT124928.1
Gm12764,NONMMUG037724,NONMMUT150895.1
Gm12766,NONMMUG037726,NONMMUT060697.2
Gm12766,NONMMUG037726,NONMMUT124931.1
Gm12774,NONMMUG037722,NONMMUT060690.2
Gm12781,NONMMUG037733,NONMMUT060708.2
Gm12781,NONMMUG037733,NONMMUT060709.2
Gm12781,NONMMUG037733,NONMMUT060710.2
Gm12781,NONMMUG037733,NONMMUT124936.1
Gm12781,NONMMUG037733,NONMMUT124937.1
Gm12784,NONMMUG037730,NONMMUT060702.2
Gm12784,NONMMUG037730,NONMMUT124934.1
Gm12784,NONMMUG037730,NONMMUT150896.1
Gm12788,NONMMUG029916,NONMMUT048251.2
Gm12793,NONMMUG029982,NONMMUT048342.2
Gm12795,NONMMUG029985,NONMMUT048347.2
Gm12796,NONMMUG029981,NONMMUT048341.2
Gm12796,NONMMUG029981,NONMMUT148566.1
Gm12796,NONMMUG029981,NONMMUT148567.1
Gm12798,NONMMUG029987,NONMMUT048354.2
Gm12802,NONMMUG030111,NONMMUT048512.2
Gm12802,NONMMUG030111,NONMMUT115398.1
Gm12805,NONMMUG030235,NONMMUT048710.2
Gm12806,NONMMUG030230,NONMMUT048705.2
Gm12807,NONMMUG030231,NONMMUT048706.2
Gm12811,NONMMUG030207,NONMMUT048671.2
Gm12811,NONMMUG030207,NONMMUT115439.1
Gm12823,NONMMUG030257,NONMMUT048743.2
Gm12823,NONMMUG030257,NONMMUT115453.1
Gm12823,NONMMUG030257,NONMMUT115454.1
Gm12827,NONMMUG030388,NONMMUT048928.2
Gm12828,NONMMUG030386,NONMMUT048926.2
Gm12829,NONMMUG030270,NONMMUT048757.2
Gm12829,NONMMUG030270,NONMMUT115458.1
Gm12838,NONMMUG030285,NONMMUT048780.2
Gm12841,NONMMUG030406,NONMMUT048950.2
Gm12841,NONMMUG030406,NONMMUT048951.2
Gm12841,NONMMUG030406,NONMMUT115491.1
Gm12842,NONMMUG030399,NONMMUT048942.2
Gm12843,NONMMUG030382,NONMMUT048920.2
Gm12843,NONMMUG030382,NONMMUT048921.2
Gm12843,NONMMUG030382,NONMMUT115474.1
Gm12847,NONMMUG030300,NONMMUT048797.2
Gm12847,NONMMUG030300,NONMMUT115461.1
Gm12850,NONMMUG030116,NONMMUT048522.2
Gm12853,NONMMUG030427,NONMMUT049164.2
Gm12853,NONMMUG030427,NONMMUT049165.2
Gm12853,NONMMUG030427,NONMMUT117180.1
Gm12853,NONMMUG030427,NONMMUT117181.1
Gm12858,NONMMUG030421,NONMMUT048973.2
Gm12861,NONMMUG030432,NONMMUT049170.2
Gm12862,NONMMUG030434,NONMMUT049173.2
Gm12862,NONMMUG030434,NONMMUT117185.1
Gm12865,NONMMUG030433,NONMMUT049172.2
Gm12865,NONMMUG030433,NONMMUT117184.1
Gm12866,NONMMUG030435,NONMMUT049174.2
Gm12866,NONMMUG030435,NONMMUT117186.1
Gm12867,NONMMUG030436,NONMMUT049175.2
Gm12867,NONMMUG030436,NONMMUT049177.2
Gm12867,NONMMUG030436,NONMMUT117191.1
Gm12868,NONMMUG030438,NONMMUT049179.2
Gm12868,NONMMUG030438,NONMMUT117193.1
Gm12869,NONMMUG030120,NONMMUT048529.2
Gm12871,NONMMUG030489,NONMMUT049255.2
Gm12875,NONMMUG030514,NONMMUT049285.2
Gm12879,NONMMUG030496,NONMMUT049265.2
Gm12895,NONMMUG030513,NONMMUT049284.2
Gm12896,NONMMUG030510,NONMMUT049281.2
Gm12898,NONMMUG030440,NONMMUT049181.2
Gm12898,NONMMUG030440,NONMMUT115512.1
Gm12902,NONMMUG030558,NONMMUT049343.2
Gm12905,NONMMUG030555,NONMMUT049338.2
Gm12905,NONMMUG030555,NONMMUT049340.2
Gm12908,NONMMUG030130,NONMMUT048552.2
Gm12908,NONMMUG030130,NONMMUT117111.1
Gm12908,NONMMUG030130,NONMMUT117112.1
Gm12913,NONMMUG029637,NONMMUT047819.2
Gm12915,NONMMUG030572,NONMMUT049386.2
Gm12915,NONMMUG030572,NONMMUT117265.1
Gm12924,NONMMUG030537,NONMMUT049312.2
Gm12925,NONMMUG030542,NONMMUT049318.2
Gm12925,NONMMUG030542,NONMMUT049319.2
Gm12925,NONMMUG030542,NONMMUT049320.2
Gm12925,NONMMUG030542,NONMMUT049321.2
Gm12925,NONMMUG030542,NONMMUT115545.1
Gm12925,NONMMUG030542,NONMMUT148197.1
Gm12926,NONMMUG030540,NONMMUT049316.2
Gm12927,NONMMUG030443,NONMMUT049185.2
Gm12927,NONMMUG030443,NONMMUT117195.1
Gm12930,NONMMUG030588,NONMMUT049408.2
Gm12930,NONMMUG030588,NONMMUT049409.2
Gm12930,NONMMUG030588,NONMMUT117269.1
Gm12932,NONMMUG030596,NONMMUT049417.2
Gm12932,NONMMUG030596,NONMMUT117271.1
Gm12934,NONMMUG030641,NONMMUT049489.2
Gm12935,NONMMUG030640,NONMMUT049488.2
Gm12937,NONMMUG030646,NONMMUT049497.2
Gm12940,NONMMUG030662,NONMMUT049523.2
Gm12940,NONMMUG030662,NONMMUT049524.2
Gm12940,NONMMUG030662,NONMMUT049526.2
Gm12940,NONMMUG030662,NONMMUT049527.2
Gm12940,NONMMUG030662,NONMMUT049528.2
Gm12940,NONMMUG030662,NONMMUT115604.1
Gm12941,NONMMUG030664,NONMMUT049530.2
Gm12945,NONMMUG030629,NONMMUT049470.2
Gm12945,NONMMUG030629,NONMMUT115589.1
Gm12950,NONMMUG030333,NONMMUT048843.2
Gm12951,NONMMUG030323,NONMMUT048830.2
Gm12951,NONMMUG030323,NONMMUT115466.1
Gm12953,NONMMUG030334,NONMMUT048844.2
Gm12953,NONMMUG030334,NONMMUT115468.1
Gm12956,NONMMUG030458,NONMMUT049204.2
Gm12957,NONMMUG030460,NONMMUT049206.2
Gm12959,NONMMUG030464,NONMMUT049214.2
Gm12966,NONMMUG030772,NONMMUT049692.2
Gm12970,NONMMUG030809,NONMMUT049749.2
Gm12970,NONMMUG030809,NONMMUT049750.2
Gm12970,NONMMUG030809,NONMMUT049751.2
Gm12970,NONMMUG030809,NONMMUT049752.2
Gm12970,NONMMUG030809,NONMMUT117352.1
Gm12971,NONMMUG030805,NONMMUT049743.2
Gm12974,NONMMUG030933,NONMMUT049950.2
Gm12974,NONMMUG030933,NONMMUT049951.2
Gm12974,NONMMUG030933,NONMMUT115744.1
Gm12974,NONMMUG030933,NONMMUT148237.1
Gm12974,NONMMUG030933,NONMMUT148238.1
Gm12977,NONMMUG030934,NONMMUT049952.2
Gm12977,NONMMUG030934,NONMMUT049954.2
Gm12977,NONMMUG030934,NONMMUT115745.1
Gm12979,NONMMUG030739,NONMMUT049639.2
Gm12979,NONMMUG030739,NONMMUT117331.1
Gm12981,NONMMUG030876,NONMMUT049866.2
Gm12981,NONMMUG030876,NONMMUT117386.1
Gm12988,NONMMUG031001,NONMMUT050071.2
Gm12992,NONMMUG030841,NONMMUT049799.2
Gm12992,NONMMUG030841,NONMMUT049804.2
Gm12992,NONMMUG030841,NONMMUT148705.1
Gm12994,NONMMUG030357,NONMMUT048880.2
Gm12996,NONMMUG030356,NONMMUT048879.2
Gm12996,NONMMUG030356,NONMMUT115470.1
Gm12998,NONMMUG030361,NONMMUT048886.2
Gm12999,NONMMUG030879,NONMMUT049869.2
Gm12999,NONMMUG030879,NONMMUT115720.1
Gm13003,NONMMUG031049,NONMMUT050146.2
Gm13003,NONMMUG031049,NONMMUT117492.1
Gm13003,NONMMUG031049,NONMMUT117493.1
Gm13003,NONMMUG031049,NONMMUT117494.1
Gm13005,NONMMUG031051,NONMMUT050150.2
Gm13008,NONMMUG031014,NONMMUT050088.2
Gm13012,NONMMUG031074,NONMMUT050187.2
Gm13012,NONMMUG031074,NONMMUT050188.2
Gm13012,NONMMUG031074,NONMMUT050189.2
Gm13012,NONMMUG031074,NONMMUT117521.1
Gm13017,NONMMUG031144,NONMMUT050288.2
Gm13017,NONMMUG031144,NONMMUT115851.1
Gm13021,NONMMUG031145,NONMMUT115854.1
Gm13021,NONMMUG031145,NONMMUT115855.1
Gm13021,NONMMUG031145,NONMMUT148269.1
Gm13021,NONMMUG031145,NONMMUT148270.1
Gm13021,NONMMUG031145,NONMMUT148271.1
Gm13021,NONMMUG031145,NONMMUT148272.1
Gm13021,NONMMUG031145,NONMMUT148273.1
Gm13021,NONMMUG031145,NONMMUT148274.1
Gm13021,NONMMUG031145,NONMMUT148275.1
Gm13021,NONMMUG031145,NONMMUT148276.1
Gm13021,NONMMUG031145,NONMMUT148277.1
Gm13021,NONMMUG031145,NONMMUT148278.1
Gm13021,NONMMUG031145,NONMMUT148279.1
Gm13021,NONMMUG031145,NONMMUT148280.1
Gm13021,NONMMUG031145,NONMMUT148281.1
Gm13021,NONMMUG031145,NONMMUT148282.1
Gm13021,NONMMUG031145,NONMMUT148283.1
Gm13021,NONMMUG031145,NONMMUT148284.1
Gm13021,NONMMUG031145,NONMMUT148285.1
Gm13021,NONMMUG031145,NONMMUT148286.1
Gm13021,NONMMUG031145,NONMMUT148287.1
Gm13021,NONMMUG031145,NONMMUT148288.1
Gm13021,NONMMUG031145,NONMMUT148289.1
Gm13021,NONMMUG031145,NONMMUT148290.1
Gm13021,NONMMUG031145,NONMMUT148291.1
Gm13021,NONMMUG031145,NONMMUT148292.1
Gm13021,NONMMUG031145,NONMMUT148293.1
Gm13021,NONMMUG031145,NONMMUT148294.1
Gm13021,NONMMUG031145,NONMMUT148295.1
Gm13021,NONMMUG031145,NONMMUT148296.1
Gm13021,NONMMUG031145,NONMMUT148297.1
Gm13021,NONMMUG031145,NONMMUT148298.1
Gm13021,NONMMUG031145,NONMMUT148299.1
Gm13021,NONMMUG031145,NONMMUT148300.1
Gm13021,NONMMUG031145,NONMMUT148301.1
Gm13024,NONMMUG031277,NONMMUT050483.2
Gm13025,NONMMUG031149,NONMMUT050293.2
Gm13025,NONMMUG031149,NONMMUT115857.1
Gm13026,NONMMUG031147,NONMMUT050291.2
Gm13027,NONMMUG031137,NONMMUT050280.2
Gm13027,NONMMUG031137,NONMMUT115840.1
Gm13028,NONMMUG031133,NONMMUT050272.2
