lncRNA,protein
Grb10,Mbnl3
Grb10,Tdp43
Grb10,Upf1
H3f3b,Adenomatous polyposis coli (APC)
H3f3b,Celf1
H3f3b,Cpsf6
H3f3b,FMRP
H3f3b,Fus
H3f3b,JARID2
H3f3b,Mbnl1
H3f3b,PABPC1
H3f3b,Tdp43
H3f3b,Upf1
Hba-a1,Adenomatous polyposis coli (APC)
Hba-a1,FMRP
Hba-a1,Mbnl1
Hba-a1,Tdp43
Hba-a2,Adenomatous polyposis coli (APC)
Hba-a2,Fus
Hba-a2,Mbnl1
Hba-a2,Tdp43
Hipk1,Adenomatous polyposis coli (APC)
Hipk1,FMRP
Hipk1,Fus
Hipk1,Mbnl1
Hipk1,Tardbp
Hipk1,Tdp43
Hipk1,Upf1
Hmgcr,Adenomatous polyposis coli (APC)
Hmgcr,Cpsf6
Hmgcr,FMRP
Hmgcr,Fus
Hmgcr,Mbnl1
Hmgcr,Tdp43
Hmgcr,Upf1
Hn1,Adenomatous polyposis coli (APC)
Hn1,Celf1
Hn1,FMRP
Hn1,Fus
Hn1,JARID2
Hn1,Tdp43
Hn1,Upf1
Hnrnpd,Adenomatous polyposis coli (APC)
Hnrnpd,Celf1
Hnrnpd,Cpsf6
Hnrnpd,Ezh2
Hnrnpd,FMRP
Hnrnpd,Fus
Hnrnpd,JARID2
Hnrnpd,Mbnl1
Hnrnpd,Tdp43
Hnrnpd,Upf1
Hnrnpl,Adenomatous polyposis coli (APC)
Hnrnpl,Celf1
Hnrnpl,Cpsf6
Hnrnpl,Ezh2
Hnrnpl,FMRP
Hnrnpl,Fus
Hnrnpl,JARID2
Hnrnpl,Mbnl1
Hnrnpl,Mbnl2
Hnrnpl,Mbnl3
Hnrnpl,PABPC1
Hnrnpl,Tdp43
Hnrnpl,Upf1
Hsd17b12,Adenomatous polyposis coli (APC)
Hsd17b12,Celf1
Hsd17b12,Fus
Hsd17b12,Mbnl1
Hsd17b12,Tdp43
Hsd17b12,Upf1
Hsp90aa1,Adenomatous polyposis coli (APC)
Hsp90aa1,FMRP
Hsp90aa1,Fus
Hsp90aa1,Mbnl1
Hsp90aa1,Tdp43
Hsp90aa1,Upf1
Hspa5,Adenomatous polyposis coli (APC)
Hspa5,Celf1
Hspa5,Fus
Hspa5,JARID2
Hspa5,Mbnl1
Hspa5,Tdp43
Hspa5,Upf1
Igfbpl1,Adenomatous polyposis coli (APC)
Igfbpl1,Tdp43
Kif5c,Adenomatous polyposis coli (APC)
Kif5c,FMRP
Kif5c,Fus
Kif5c,Tdp43
Kpnb1,Adenomatous polyposis coli (APC)
Kpnb1,Fus
Kpnb1,JARID2
Kpnb1,Mbnl1
Kpnb1,Tdp43
Kpnb1,Upf1
Leng8,Adenomatous polyposis coli (APC)
Leng8,Cpsf6
Leng8,Fus
Leng8,Mbnl1
Lime1,Adenomatous polyposis coli (APC)
Lime1,Fus
Lime1,Tdp43
Mest,Adenomatous polyposis coli (APC)
Mest,FMRP
Mest,Fus
Mest,Rbfox3
Mest,Upf1
Mn1,Adenomatous polyposis coli (APC)
Mn1,Cpsf6
Mn1,FMRP
Mn1,Mbnl1
Mn1,Mbnl3
Mn1,Tdp43
Naa38,Adenomatous polyposis coli (APC)
Naa38,Celf1
Naa38,Fus
Naa38,Tdp43
Naa38,Upf1
Ncoa6,Adenomatous polyposis coli (APC)
Ncoa6,Celf1
Ncoa6,FMRP
Ncoa6,Fus
Ncoa6,Mbnl1
Ncoa6,Mbnl3
Ncoa6,Tdp43
Ncoa6,Upf1
Nnat,Adenomatous polyposis coli (APC)
Nnat,FMRP
Nnat,Fus
Nnat,Tdp43
Nnat,Upf1
NONMMUG034856,Adenomatous polyposis coli (APC)
NONMMUG034856,Fus
NONMMUG034856,JARID2
NONMMUG034856,Tdp43
NONMMUG034856,Upf1
Npepps,Adenomatous polyposis coli (APC)
Npepps,Celf1
Npepps,Ezh2
Npepps,FMRP
Npepps,Fus
Npepps,JARID2
Npepps,Mbnl1
Npepps,Tdp43
Npepps,Upf1
Nptn,Adenomatous polyposis coli (APC)
Nptn,Celf1
Nptn,Cpsf6
Nptn,Ezh2
Nptn,FMRP
Nptn,Fus
Nptn,JARID2
Nptn,Mbnl1
Nptn,Mbnl2
Nptn,Tdp43
Nptn,Upf1
Nr2f1,Adenomatous polyposis coli (APC)
Nr2f1,FMRP
Nr2f1,Fus
Nr2f1,Tdp43
Nudt3,Adenomatous polyposis coli (APC)
Nudt3,Celf1
Nudt3,FMRP
Nudt3,Fus
Nudt3,Mbnl1
Nudt3,Tdp43
Nudt3,Upf1
Nufip2,Adenomatous polyposis coli (APC)
Nufip2,Cpsf6
Nufip2,FMRP
Nufip2,Fus
Nufip2,JARID2
Nufip2,Mbnl1
Nufip2,Mbnl2
Nufip2,Tdp43
Nufip2,Upf1
Pdia6,Adenomatous polyposis coli (APC)
Pdia6,Cpsf6
Pdia6,FMRP
Pdia6,Fus
Pdia6,JARID2
Pdia6,Tdp43
Ppp2ca,Adenomatous polyposis coli (APC)
Ppp2ca,Cpsf6
Ppp2ca,FMRP
Ppp2ca,Fus
Ppp2ca,Mbnl1
Ppp2ca,Mbnl3
Ppp2ca,PABPC1
Ppp2ca,Tdp43
Prkar1a,Adenomatous polyposis coli (APC)
Prkar1a,Celf1
Prkar1a,FMRP
Prkar1a,Fus
Prkar1a,Mbnl1
Prkar1a,Mbnl2
Prkar1a,Tdp43
Prrc2b,Adenomatous polyposis coli (APC)
Prrc2b,Celf1
Prrc2b,Cpsf6
Prrc2b,FMRP
Prrc2b,Fus
Prrc2b,Mbnl1
Prrc2b,Mbnl3
Prrc2b,Tdp43
Prrc2b,Upf1
Rad23b,Adenomatous polyposis coli (APC)
Rad23b,Celf1
Rad23b,Ezh2
Rad23b,FMRP
Rad23b,Fus
Rad23b,JARID2
Rad23b,Mbnl1
Rad23b,PABPC1
Rad23b,Tdp43
Rad23b,Upf1
Rc3h2,Adenomatous polyposis coli (APC)
Rc3h2,FMRP
Rc3h2,Fus
Rc3h2,JARID2
Rc3h2,Mbnl1
Rc3h2,Nova1
Rc3h2,Tdp43
Rc3h2,Upf1
Rimklb,Adenomatous polyposis coli (APC)
Rimklb,Fus
Rimklb,Tdp43
Rimklb,Upf1
Rnf145,Adenomatous polyposis coli (APC)
Rnf145,Celf1
Rnf145,FMRP
Rnf145,Fus
Rnf145,Mbnl1
Rnf145,Tdp43
Rnf145,Upf1
Rps6kb1,Adenomatous polyposis coli (APC)
Rps6kb1,Celf1
Rps6kb1,Cpsf6
Rps6kb1,Ezh2
Rps6kb1,FMRP
Rps6kb1,Fus
Rps6kb1,JARID2
Rps6kb1,Mbnl1
Rps6kb1,Tardbp
Rps6kb1,Tdp43
Rps6kb1,Upf1
Rtn4,Adenomatous polyposis coli (APC)
Rtn4,Celf1
Rtn4,Cpsf6
Rtn4,FMRP
Rtn4,Fus
Rtn4,JARID2
Rtn4,Mbnl1
Rtn4,Mbnl2
Rtn4,Mbnl3
Rtn4,PABPC1
Rtn4,Tdp43
Rtn4,Upf1
Sec23a,Adenomatous polyposis coli (APC)
Sec23a,FMRP
Sec23a,Fus
Sec23a,JARID2
Sec23a,Tdp43
Sec23a,Upf1
Senp6,Adenomatous polyposis coli (APC)
Senp6,Celf1
Senp6,Ezh2
Senp6,FMRP
Senp6,Fus
Senp6,JARID2
Senp6,Tdp43
Senp6,Upf1
Serinc1,Adenomatous polyposis coli (APC)
Serinc1,Celf1
Serinc1,FMRP
Serinc1,Fus
Serinc1,JARID2
Serinc1,Mbnl1
Serinc1,Mbnl2
Serinc1,Tdp43
Serinc1,Upf1
Snhg11,Adenomatous polyposis coli (APC)
Snhg11,Fus
Snhg11,Rbfox3
Snhg11,Tdp43
Sptbn1,Adenomatous polyposis coli (APC)
Sptbn1,Celf1
Sptbn1,Cpsf6
Sptbn1,Ezh2
Sptbn1,FMRP
Sptbn1,Fus
Sptbn1,JARID2
Sptbn1,Mbnl1
Sptbn1,PABPC1
Sptbn1,Tdp43
Sptbn1,Upf1
Srcin1,Adenomatous polyposis coli (APC)
Srcin1,FMRP
Srcin1,Fus
Srcin1,Tdp43
Srrm3,Adenomatous polyposis coli (APC)
Srrm3,Celf1
Srrm3,FMRP
Srrm3,Fus
Srrm3,JARID2
Srrm3,Mbnl1
Srrm3,Mbnl2
Srrm3,Tdp43
Srrm3,Upf1
Ssr3,Adenomatous polyposis coli (APC)
Ssr3,Celf1
Ssr3,Cpsf6
Ssr3,FMRP
Ssr3,Fus
Ssr3,JARID2
Ssr3,Mbnl1
Ssr3,Mbnl2
Ssr3,PABPC1
Ssr3,Tdp43
Ssr3,Upf1
Syt1,Adenomatous polyposis coli (APC)
Syt1,FMRP
Syt1,Fus
Syt1,PABPC1
Syt1,Rbfox3
Syt1,Tdp43
Syt11,Adenomatous polyposis coli (APC)
T2,Adenomatous polyposis coli (APC)
T2,FMR1
T2,PABP1
T2,Pou5f1
T2,PSPC1
T2,RBM10
T2,RFOX2
T2,SFPQ
T2,TIA1
T2,TTP
T2,TYY1
Tardbp,Adenomatous polyposis coli (APC)
Tardbp,Celf1
Tardbp,Cpsf6
Tardbp,Ezh2
Tardbp,Fus
Tardbp,JARID2
Tardbp,Mbnl1
Tardbp,Tdp43
Tardbp,Upf1
Tbr1,Adenomatous polyposis coli (APC)
Tcf4,Adenomatous polyposis coli (APC)
Tcf4,Celf1
Tcf4,Cpsf6
Tcf4,Ezh2
Tcf4,FMRP
Tcf4,Fus
Tcf4,JARID2
Tcf4,Mbnl1
Tcf4,PABPC1
Tcf4,Tardbp
Tcf4,Tdp43
Tcf4,Upf1
Tmx1,Adenomatous polyposis coli (APC)
Tmx1,Cpsf6
Tmx1,Ezh2
Tmx1,Fus
Tmx4,Adenomatous polyposis coli (APC)
Tmx4,Celf1
Tmx4,FMRP
Tmx4,Fus
Tmx4,Tdp43
Tmx4,Upf1
Tnks2,Adenomatous polyposis coli (APC)
Tnks2,Cpsf6
Tnks2,FMRP
Tnks2,Fus
Tnks2,Tdp43
Tnks2,Upf1
Top2b,Adenomatous polyposis coli (APC)
Top2b,FMRP
Top2b,Fus
Top2b,Mbnl3
Top2b,Tdp43
Tpr,Adenomatous polyposis coli (APC)
Tpr,FMRP
Tpr,Fus
Tpr,JARID2
Tpr,PABPC1
Tpr,Tdp43
Tpr,Upf1
Tsc22d1,Adenomatous polyposis coli (APC)
Tsc22d1,Cpsf6
Tsc22d1,Fus
Tsc22d1,Mbnl1
Tsc22d1,Mbnl2
Tsc22d1,Mbnl3
Tsc22d1,Tdp43
Tsc22d1,Upf1
Tubb5,Adenomatous polyposis coli (APC)
Tubb5,Cpsf6
Tubb5,FMRP
Tubb5,Fus
Tubb5,JARID2
Tubb5,Mbnl1
Tubb5,Tdp43
Tubb5,Upf1
Ugcg,Adenomatous polyposis coli (APC)
Ugcg,Fus
Ugcg,Mbnl1
Ugcg,PABPC1
Ugcg,Upf1
Wdr26,Adenomatous polyposis coli (APC)
Wdr26,Celf1
Wdr26,FMRP
Wdr26,Fus
Wdr26,Mbnl1
Wdr26,Tdp43
Wdr26,Upf1
Wsb1,Adenomatous polyposis coli (APC)
Wsb1,Celf1
Wsb1,Cpsf6
Wsb1,Fus
Wsb1,Mbnl3
Wsb1,Tdp43
Wsb1,Upf1
Xpr1,Adenomatous polyposis coli (APC)
Xpr1,Fus
Xpr1,Mbnl1
Zfp26,Adenomatous polyposis coli (APC)
Zfp26,Celf1
Zfp26,FMRP
Zfp26,Fus
Zfp26,Mbnl1
Zfp26,Tdp43
Zfp26,Upf1
Zfp664,Adenomatous polyposis coli (APC)
Zfp664,Celf1
Zfp664,FMRP
Zfp664,Fus
Zfp664,JARID2
Zfp664,PABPC1
Zfp664,Tdp43
Zfp664,Upf1
1110019D14Rik,AGO1
1110019D14Rik,AGO2
1110019D14Rik,AGO4
1110019D14Rik,DAZL
1110019D14Rik,FMR1
1110019D14Rik,KPYM
1110019D14Rik,PABP1
1110019D14Rik,Pou5f1
1110019D14Rik,Ptbp2
1110019D14Rik,RFOX2
1110019D14Rik,SFPQ
1110019D14Rik,TTP
1110019D14Rik,TYY1
1110019D14Rik,VIGLN
1110035M17Rik,AGO1
1110035M17Rik,AGO2
1110035M17Rik,AGO4
1110035M17Rik,FMRP
1110035M17Rik,Fus
1110035M17Rik,PABP1
1110035M17Rik,Pou5f1
1110035M17Rik,RFOX2
1110035M17Rik,Tdp43
1110038B12Rik,AGO1
1110038B12Rik,AGO2
1110038B12Rik,AGO4
1110038B12Rik,Cpsf6
1110038B12Rik,Ezh2
1110038B12Rik,FMR1
1110038B12Rik,FMRP
1110038B12Rik,Fus
1110038B12Rik,JARID2
1110038B12Rik,KPYM
1110038B12Rik,Mbnl1
1110038B12Rik,Mbnl3
1110038B12Rik,MSI2H
1110038B12Rik,PABP1
1110038B12Rik,PABPC1
1110038B12Rik,Pou5f1
1110038B12Rik,PSPC1
1110038B12Rik,QKI
1110038B12Rik,Rbfox3
1110038B12Rik,RBM10
1110038B12Rik,RFOX2
1110038B12Rik,SFPQ
1110038B12Rik,SUZ12
1110038B12Rik,TAF15
1110038B12Rik,TIA1
1110038B12Rik,TTP
1110038B12Rik,TYY1
1110038B12Rik,Upf1
1110038B12Rik,VIGLN
1500017E21Rik,AGO1
1500017E21Rik,AGO2
1500017E21Rik,AGO4
1500017E21Rik,Celf1
1500017E21Rik,DAZL
1500017E21Rik,Elavl1
1500017E21Rik,FMR1
1500017E21Rik,FMRP
1500017E21Rik,Fus
1500017E21Rik,PABP1
1500017E21Rik,Pou5f1
1500017E21Rik,Ptbp2
1500017E21Rik,Rbfox3
1500017E21Rik,RBM10
1500017E21Rik,RFOX2
1500017E21Rik,SFPQ
1500017E21Rik,Tdp43
1500017E21Rik,TIA1
1500017E21Rik,TTP
1500017E21Rik,TYY1
1600002D24Rik,AGO1
1600002D24Rik,AGO2
1600002D24Rik,AGO4
1600002D24Rik,KPYM
1600002D24Rik,PABP1
1600002D24Rik,Pou5f1
1600002D24Rik,Ptbp2
1600002D24Rik,Rbfox3
1600002D24Rik,RBM10
1600002D24Rik,RFOX2
1600002D24Rik,SUZ12
1600002D24Rik,Tdp43
1600002D24Rik,TYY1
1600020E01Rik,AGO1
1600020E01Rik,AGO2
1600020E01Rik,AGO4
1600020E01Rik,DAZL
1600020E01Rik,Elavl1
1600020E01Rik,FMR1
1600020E01Rik,KPYM
1600020E01Rik,PABP1
1600020E01Rik,Ptbp2
1600020E01Rik,QKI
1600020E01Rik,RFOX2
1600020E01Rik,SFPQ
1600020E01Rik,TYY1
1600020E01Rik,VIGLN
1700003F17Rik,AGO1
1700003F17Rik,AGO2
1700003F17Rik,AGO4
1700003F17Rik,Celf1
1700003F17Rik,FMRP
1700003F17Rik,Fus
1700003F17Rik,PABP1
1700003F17Rik,Pou5f1
1700003F17Rik,RFOX2
1700003F17Rik,Tdp43
1700003F17Rik,TTP
1700003F17Rik,TYY1
1700006D18Rik,AGO1
1700006D18Rik,AGO2
1700006D18Rik,AGO4
1700006D18Rik,Celf1
1700006D18Rik,Ezh2
1700006D18Rik,FMR1
1700006D18Rik,FMRP
1700006D18Rik,Fus
1700006D18Rik,Ptbp2
1700006D18Rik,RFOX2
1700006D18Rik,SFPQ
1700006D18Rik,TAF15
1700006D18Rik,Tdp43
1700006D18Rik,TIA1
1700006D18Rik,TYY1
1700006D18Rik,Upf1
1700006J14Rik,AGO1
1700006J14Rik,AGO2
1700006J14Rik,AGO4
1700006J14Rik,Celf1
1700006J14Rik,DAZL
1700006J14Rik,FMR1
1700006J14Rik,MSI2H
1700006J14Rik,Pou5f1
1700006J14Rik,Ptbp2
1700006J14Rik,RBM10
1700006J14Rik,RFOX2
1700006J14Rik,TIA1
1700006P19Rik,AGO1
1700006P19Rik,AGO2
1700006P19Rik,AGO4
1700006P19Rik,Celf1
1700006P19Rik,DAZL
1700006P19Rik,Elavl1
1700006P19Rik,Ezh2
1700006P19Rik,FMRP
1700006P19Rik,Fus
1700006P19Rik,KPYM
1700006P19Rik,PABP1
1700006P19Rik,Ptbp2
1700006P19Rik,RBM10
1700006P19Rik,RFOX2
1700006P19Rik,SFPQ
1700006P19Rik,TAF15
1700006P19Rik,Tdp43
1700006P19Rik,TIA1
1700006P19Rik,TTP
1700006P19Rik,Upf1
1700016P03Rik,AGO1
1700016P03Rik,AGO2
1700016P03Rik,AGO4
1700016P03Rik,Ezh2
1700016P03Rik,Fus
1700016P03Rik,PABP1
1700016P03Rik,Pou5f1
1700016P03Rik,PSPC1
1700016P03Rik,Rbfox3
1700016P03Rik,RFOX2
1700016P03Rik,SFPQ
1700016P03Rik,TAF15
1700016P03Rik,Tdp43
1700016P03Rik,TTP
1700016P03Rik,TYY1
1700020I14Rik,AGO1
1700020I14Rik,AGO2
1700020I14Rik,AGO4
1700020I14Rik,DAZL
1700020I14Rik,Elavl1
1700020I14Rik,FMR1
1700020I14Rik,FMRP
1700020I14Rik,Fus
1700020I14Rik,JARID2
1700020I14Rik,KPYM
1700020I14Rik,MSI2H
1700020I14Rik,Nova1
1700020I14Rik,PABP1
1700020I14Rik,PABPC1
1700020I14Rik,RFOX2
1700020I14Rik,SFPQ
1700020I14Rik,TAF15
1700020I14Rik,Tdp43
1700020I14Rik,TIA1
1700020I14Rik,TTP
1700020I14Rik,Upf1
1700020I14Rik,VIGLN
1700023H06Rik,AGO1
1700023H06Rik,AGO2
1700023H06Rik,AGO4
1700023H06Rik,FMRP
1700023H06Rik,Fus
1700023H06Rik,RFOX2
