lncRNA,protein
2610206C17Rik,SFPQ
2610206C17Rik,Tdp43
2610206C17Rik,TYY1
2610206C17Rik,Upf1
2700016F22Rik,AGO2
2700016F22Rik,DAZL
2700016F22Rik,Elavl1
2700016F22Rik,KPYM
2700016F22Rik,PABP1
2700016F22Rik,PSPC1
2700016F22Rik,RFOX2
2700016F22Rik,SFPQ
2700016F22Rik,TIA1
2700016F22Rik,TTP
2810403D21Rik,AGO2
2810403D21Rik,FMR1
2810403D21Rik,Fus
2810403D21Rik,KPYM
2810403D21Rik,PABP1
2810403D21Rik,PABPC1
2810403D21Rik,Pou5f1
2810403D21Rik,RFOX2
2810403D21Rik,SFPQ
2810403D21Rik,Tdp43
2810403D21Rik,TIA1
2810403D21Rik,TTP
2810403D21Rik,TYY1
2810403D21Rik,Upf1
2810403D21Rik,VIGLN
3010003L10Rik,AGO2
3010003L10Rik,Pou5f1
3010003L10Rik,RBM10
3010003L10Rik,RFOX2
3010003L10Rik,TYY1
4631405K08Rik,AGO2
4631405K08Rik,MSI2H
4631405K08Rik,VIGLN
4732418A04Rik,AGO2
4732418A04Rik,FMRP
4732418A04Rik,RFOX2
4732418A04Rik,Tdp43
4833417C18Rik,AGO2
4833417C18Rik,Ezh2
4833417C18Rik,FMRP
4833417C18Rik,Fus
4833417C18Rik,KPYM
4833417C18Rik,PABP1
4833417C18Rik,Pou5f1
4833417C18Rik,PSPC1
4833417C18Rik,QKI
4833417C18Rik,RBM10
4833417C18Rik,SUZ12
4833417C18Rik,Tdp43
4833417C18Rik,TIA1
4833417C18Rik,TTP
4833417C18Rik,TYY1
4833417C18Rik,Upf1
4930430E12Rik,AGO2
4930430E12Rik,QKI
4930430E12Rik,RFOX2
4930445B16Rik,AGO2
4930445B16Rik,FMRP
4930445B16Rik,Fus
4930445B16Rik,Pou5f1
4930445B16Rik,Ptbp2
4930445B16Rik,RBM10
4930445B16Rik,RFOX2
4930445B16Rik,SFPQ
4930445B16Rik,Tdp43
4930445B16Rik,TYY1
4930445B16Rik,Upf1
4930445B16Rik,VIGLN
4930448K12Rik,AGO2
4930448K12Rik,Celf1
4930448K12Rik,FMRP
4930448K12Rik,Fus
4930448K12Rik,PABP1
4930448K12Rik,Pou5f1
4930448K12Rik,Ptbp2
4930448K12Rik,QKI
4930448K12Rik,RFOX2
4930448K12Rik,SFPQ
4930448K12Rik,Tdp43
4930448K12Rik,TYY1
4930448N21Rik,AGO2
4930448N21Rik,FMR1
4930448N21Rik,Pou5f1
4930448N21Rik,Ptbp2
4930448N21Rik,RFOX2
4930448N21Rik,SFPQ
4930448N21Rik,TAF15
4930448N21Rik,TYY1
4930448N21Rik,VIGLN
4930453H23Rik,AGO2
4930453H23Rik,RFOX2
4930453H23Rik,VIGLN
4930471I20Rik,AGO2
4930471I20Rik,Celf1
4930471I20Rik,FMRP
4930471I20Rik,Fus
4930471I20Rik,PABP1
4930471I20Rik,Pou5f1
4930471I20Rik,Ptbp2
4930471I20Rik,RFOX2
4930471I20Rik,SFPQ
4930471I20Rik,Tdp43
4930471I20Rik,TTP
4930471I20Rik,TYY1
4930473D10Rik,AGO2
4930473D10Rik,FMR1
4930473D10Rik,Fus
4930473D10Rik,RFOX2
4930473D10Rik,Tdp43
4930473D10Rik,VIGLN
4930505H01Rik,AGO2
4930505H01Rik,Celf1
4930505H01Rik,FMRP
4930505H01Rik,Fus
4930505H01Rik,Pou5f1
4930505H01Rik,RFOX2
4930505H01Rik,Tdp43
4930505H01Rik,TYY1
4930506C21Rik,AGO2
4930506C21Rik,Elavl1
4930506C21Rik,Fus
4930506C21Rik,PABP1
4930506C21Rik,Pou5f1
4930506C21Rik,RFOX2
4930506C21Rik,TAF15
4930506C21Rik,Tdp43
4930506C21Rik,TIA1
4930506C21Rik,Upf1
4930511M06Rik,AGO2
4930511M06Rik,Celf1
4930511M06Rik,DAZL
4930511M06Rik,Elavl1
4930511M06Rik,FMRP
4930511M06Rik,Fus
4930511M06Rik,KPYM
4930511M06Rik,Mbnl3
4930511M06Rik,MSI2H
4930511M06Rik,PABP1
4930511M06Rik,Pou5f1
4930511M06Rik,PSPC1
4930511M06Rik,Ptbp2
4930511M06Rik,QKI
4930511M06Rik,RFOX2
4930511M06Rik,SFPQ
4930511M06Rik,Tdp43
4930511M06Rik,TIA1
4930511M06Rik,TTP
4930511M06Rik,TYY1
4930511M06Rik,VIGLN
4930512H18Rik,AGO2
4930512H18Rik,Celf1
4930512H18Rik,Elavl1
4930512H18Rik,FMR1
4930512H18Rik,FMRP
4930512H18Rik,PABP1
4930512H18Rik,Pou5f1
4930512H18Rik,Ptbp2
4930512H18Rik,RFOX2
4930512H18Rik,TTP
4930512H18Rik,TYY1
4930512H18Rik,Upf1
4930519F09Rik,AGO2
4930519F09Rik,DAZL
4930519F09Rik,PABP1
4930519F09Rik,Pou5f1
4930519F09Rik,PSPC1
4930519F09Rik,RFOX2
4930519F09Rik,TIA1
4930519F09Rik,TTP
4930519F09Rik,TYY1
4930520O04Rik,AGO2
4930520O04Rik,Fus
4930520O04Rik,KPYM
4930520O04Rik,PABP1
4930520O04Rik,Ptbp2
4930520O04Rik,RBM10
4930520O04Rik,RFOX2
4930520O04Rik,SFPQ
4930520O04Rik,Tdp43
4930520O04Rik,TIA1
4930520O04Rik,TYY1
4930526A20Rik,AGO2
4930526A20Rik,DAZL
4930526A20Rik,Elavl1
4930526A20Rik,PABP1
4930526A20Rik,RFOX2
4930526A20Rik,SFPQ
4930526A20Rik,TYY1
4930552N02Rik,AGO2
4930552N02Rik,Fus
4930552N02Rik,PABP1
4930552N02Rik,Pou5f1
4930552N02Rik,RFOX2
4930552N02Rik,Tdp43
4930552N02Rik,Upf1
4930557F10Rik,AGO2
4930557F10Rik,EED
4930557F10Rik,Elavl1
4930557F10Rik,Ezh2
4930557F10Rik,FMR1
4930557F10Rik,FMRP
4930557F10Rik,JARID2
4930557F10Rik,KPYM
4930557F10Rik,MSI2H
4930557F10Rik,PABP1
4930557F10Rik,Pou5f1
4930557F10Rik,Ptbp2
4930557F10Rik,Rbfox3
4930557F10Rik,RBM10
4930557F10Rik,RFOX2
4930557F10Rik,Srsf3
4930557F10Rik,SUZ12
4930557F10Rik,TTP
4930557F10Rik,TYY1
4930557F10Rik,Upf1
4930557F10Rik,VIGLN
4930586N03Rik,AGO2
4930586N03Rik,CBX7
4930586N03Rik,Celf1
4930586N03Rik,DAZL
4930586N03Rik,Elavl1
4930586N03Rik,Ezh2
4930586N03Rik,FMR1
4930586N03Rik,FMRP
4930586N03Rik,Fus
4930586N03Rik,JARID2
4930586N03Rik,KPYM
4930586N03Rik,MSI2H
4930586N03Rik,PABP1
4930586N03Rik,Pou5f1
4930586N03Rik,PSPC1
4930586N03Rik,Ptbp2
4930586N03Rik,RBM10
4930586N03Rik,RFOX2
4930586N03Rik,SFPQ
4930586N03Rik,SUZ12
4930586N03Rik,Tdp43
4930586N03Rik,TIA1
4930586N03Rik,TTP
4930586N03Rik,TYY1
4930586N03Rik,Upf1
4930586N03Rik,VIGLN
4932702P03Rik,AGO2
4932702P03Rik,FMRP
4932702P03Rik,Fus
4932702P03Rik,Nova1
4932702P03Rik,Pou5f1
4932702P03Rik,Ptbp2
4932702P03Rik,RFOX2
4932702P03Rik,Tdp43
4932702P03Rik,TYY1
4933408J17Rik,AGO2
4933408J17Rik,DAZL
4933408J17Rik,Pou5f1
4933408J17Rik,RBM10
4933408J17Rik,RFOX2
4933408J17Rik,SFPQ
4933408J17Rik,TYY1
4933408J17Rik,VIGLN
4933425H06Rik,AGO2
4933425H06Rik,Elavl1
4933425H06Rik,Fus
4933425H06Rik,Pou5f1
4933425H06Rik,Ptbp2
4933425H06Rik,RFOX2
4933425H06Rik,Tdp43
4933425H06Rik,TYY1
4933427G23Rik,AGO2
4933427G23Rik,Elavl1
4933427G23Rik,KPYM
4933427G23Rik,PABP1
4933427G23Rik,Pou5f1
4933427G23Rik,PSPC1
4933427G23Rik,RFOX2
4933427G23Rik,SFPQ
4933427G23Rik,TIA1
4933427G23Rik,TTP
4933431K23Rik,AGO2
4933431K23Rik,Celf1
4933431K23Rik,Elavl1
4933431K23Rik,FMR1
4933431K23Rik,Fus
4933431K23Rik,JARID2
4933431K23Rik,PABP1
4933431K23Rik,Pou5f1
4933431K23Rik,Ptbp2
4933431K23Rik,RBM10
4933431K23Rik,RFOX2
4933431K23Rik,Tdp43
4933431K23Rik,TTP
4933431K23Rik,TYY1
4933431K23Rik,Upf1
5430417L22Rik,AGO2
5430417L22Rik,Celf1
5430417L22Rik,FMRP
5430417L22Rik,Fus
5430417L22Rik,Nova1
5430417L22Rik,PABP1
5430417L22Rik,PABPC1
5430417L22Rik,RANBP9
5430417L22Rik,RFOX2
5430417L22Rik,Tdp43
5430417L22Rik,TIA1
5430417L22Rik,TTP
5430417L22Rik,Upf1
5730422E09Rik,AGO2
5730422E09Rik,DAZL
5730422E09Rik,KPYM
5730422E09Rik,PABP1
5730422E09Rik,Pou5f1
5730422E09Rik,PSPC1
5730422E09Rik,Ptbp2
5730422E09Rik,QKI
5730422E09Rik,RBM10
5730422E09Rik,RFOX2
5730422E09Rik,SFPQ
5730422E09Rik,TIA1
5730422E09Rik,TTP
5730422E09Rik,TYY1
5730422E09Rik,VIGLN
7SK,AGO2
7SK,Ezh2
7SK,FMRP
7SK,Fus
7SK,JARID2
7SK,Nova1
7SK,Srsf3
7SK,SRSF4
7SK,Tdp43
7SK,Upf1
8430437L04Rik,AGO2
8430437L04Rik,Pou5f1
8430437L04Rik,RBM10
8430437L04Rik,RFOX2
9130024F11Rik,AGO2
9130024F11Rik,FMR1
9130024F11Rik,FMRP
9130024F11Rik,Fus
9130024F11Rik,Pou5f1
9130024F11Rik,RFOX2
9130024F11Rik,SFPQ
9130024F11Rik,Tdp43
9130024F11Rik,TYY1
9130024F11Rik,Upf1
9130024F11Rik,VIGLN
9230020A06Rik,AGO2
9230020A06Rik,Elavl1
9230020A06Rik,PABP1
9230020A06Rik,Pou5f1
9230020A06Rik,RFOX2
9230020A06Rik,TYY1
9230020A06Rik,Upf1
9330185C12Rik,AGO2
9330185C12Rik,EED
9330185C12Rik,Elavl1
9330185C12Rik,FMR1
9330185C12Rik,KPYM
9330185C12Rik,MSI2H
9330185C12Rik,PABP1
9330185C12Rik,Pou5f1
9330185C12Rik,PSPC1
9330185C12Rik,QKI
9330185C12Rik,RBM10
9330185C12Rik,RFOX2
9330185C12Rik,SUZ12
9330185C12Rik,TTP
9330185C12Rik,TYY1
9330185C12Rik,VIGLN
9530036O11Rik,AGO2
9530036O11Rik,Elavl1
9530036O11Rik,FMR1
9530036O11Rik,FMRP
9530036O11Rik,Fus
9530036O11Rik,KPYM
9530036O11Rik,PABP1
9530036O11Rik,Pou5f1
9530036O11Rik,QKI
9530036O11Rik,Rbfox3
9530036O11Rik,RBM10
9530036O11Rik,RFOX2
9530036O11Rik,SFPQ
9530036O11Rik,Tdp43
9530036O11Rik,TYY1
9530036O11Rik,Upf1
9530036O11Rik,VIGLN
9630013K17Rik,AGO2
9630013K17Rik,Fus
9630013K17Rik,PABP1
9630013K17Rik,Pou5f1
9630013K17Rik,SFPQ
9630013K17Rik,TYY1
A330033J07Rik,AGO2
A330033J07Rik,Elavl1
A330033J07Rik,FMR1
A330033J07Rik,PABP1
A330033J07Rik,Pou5f1
A330033J07Rik,QKI
A330033J07Rik,RFOX2
A330033J07Rik,TTP
A330033J07Rik,TYY1
A330033J07Rik,VIGLN
A530058N18Rik,AGO2
A530058N18Rik,Celf1
A530058N18Rik,Elavl1
A530058N18Rik,FMRP
A530058N18Rik,Fus
A530058N18Rik,Pou5f1
A530058N18Rik,Ptbp2
A530058N18Rik,RFOX2
A530058N18Rik,SFPQ
A530058N18Rik,Tdp43
A530058N18Rik,TYY1
A530058N18Rik,VIGLN
Abhd1,AGO2
Abhd1,Celf1
Abhd1,FMRP
Abhd1,Fus
Abhd1,PABP1
Abhd1,Pou5f1
Abhd1,RFOX2
Abhd1,Tdp43
Abhd1,TIA1
Abhd1,TTP
AC025794.1,AGO2
AC025794.1,Coilin
AC025794.1,Ezh2
AC025794.1,FMRP
AC025794.1,Fus
AC025794.1,JARID2
AC025794.1,PABPC1
AC025794.1,PKR
AC025794.1,Srsf3
AC025794.1,SRSF4
AC025794.1,Tdp43
AC025794.1,Upf1
Ascl4,AGO2
Ascl4,DAZL
Ascl4,KPYM
Ascl4,PABP1
Ascl4,Pou5f1
Ascl4,RBM10
Ascl4,RFOX2
Ascl4,SFPQ
Ascl4,TIA1
Ascl4,TTP
Ascl4,TYY1
Ascl4,VIGLN
AY172335.12,AGO2
AY172335.12,Ezh2
AY172335.12,FMRP
AY172335.12,Fus
AY172335.12,JARID2
AY172335.12,Nova1
AY172335.12,Srsf3
AY172335.12,SRSF4
AY172335.12,Tdp43
AY172335.12,Upf1
B230344G16Rik,AGO2
B230344G16Rik,MSI2H
B230344G16Rik,RFOX2
B430212C06Rik,AGO2
B430212C06Rik,FMRP
B430212C06Rik,RBM10
B430212C06Rik,RFOX2
B430212C06Rik,Tdp43
BC037032,AGO2
BC037032,Celf1
BC037032,PABP1
BC037032,Pou5f1
BC037032,PSPC1
BC037032,RFOX2
BC037032,SFPQ
BC046251,AGO2
BC046251,Fus
BC046251,Pou5f1
BC046251,QKI
BC046251,RFOX2
BC046251,Tdp43
BC046251,TYY1
C130080G10Rik,AGO2
C130080G10Rik,Elavl1
C130080G10Rik,RFOX2
C130080G10Rik,SFPQ
C530005A16Rik,AGO2
C530005A16Rik,Celf1
C530005A16Rik,DAZL
C530005A16Rik,Elavl1
C530005A16Rik,Fus
C530005A16Rik,PABP1
C530005A16Rik,Pou5f1
C530005A16Rik,PSPC1
C530005A16Rik,RBM10
C530005A16Rik,RFOX2
C530005A16Rik,SFPQ
C530005A16Rik,Tdp43
C530005A16Rik,TIA1
C530005A16Rik,TTP
C530005A16Rik,TYY1
C530005A16Rik,VIGLN
Celf2,AGO2
Celf2,Celf1
Celf2,FMRP
Celf2,Fus
Celf2,Mbnl1
Celf2,Nova1
Celf2,Tardbp
Celf2,Tdp43
D930049A15Rik,AGO2
D930049A15Rik,SFPQ
Dlx1as,AGO2
Dlx1as,Celf1
Dlx1as,DAZL
Dlx1as,FMR1
Dlx1as,FMRP
Dlx1as,Fus
Dlx1as,Nova-2
Dlx1as,PABP1
Dlx1as,PABPC1
Dlx1as,Pou5f1
Dlx1as,QKI
Dlx1as,RBM10
Dlx1as,RFOX2
Dlx1as,SFPQ
Dlx1as,TAF15
Dlx1as,Tdp43
Dlx1as,TIA1
Dnm3os,AGO2
Dnm3os,Cpsf6
Dnm3os,Mbnl1
Dnm3os,MSI2H
Dnm3os,Pou5f1
Dnm3os,RBM10
Dnm3os,RFOX2
Dnm3os,SFPQ
Dnm3os,TYY1
Drr1,AGO2
Drr1,FMR1
Drr1,PABP1
Drr1,RFOX2
Drr1,VIGLN
Fam150a,AGO2
Fam150a,DAZL
Fam150a,PABP1
Fam150a,Pou5f1
Fam150a,QKI
Fam150a,RFOX2
Fam150a,TIA1
Fam150a,TTP
Fam150a,TYY1
Gm10371,AGO2
Gm10371,Celf1
Gm10371,FMRP
Gm10371,Fus
Gm10371,RFOX2
Gm10371,Tdp43
Gm10371,TIA1
Gm10371,VIGLN
Gm10714,AGO2
Gm10714,Elavl1
Gm10714,FMRP
Gm10714,Fus
Gm10714,KPYM
Gm10714,Pou5f1
Gm10714,RBM10
Gm10714,RFOX2
Gm10714,Tdp43
Gm10714,TYY1
Gm10714,VIGLN
Gm10863,AGO2
Gm10863,DAZL
Gm10863,FMR1
Gm10863,FMRP
Gm10863,Fus
Gm10863,KPYM
Gm10863,PABP1
Gm10863,Pou5f1
Gm10863,RFOX2
Gm10863,Tdp43
Gm10863,TTP
Gm10863,TYY1
Gm10863,Upf1
Gm11205,AGO2
Gm11205,FMR1
Gm11205,KPYM
Gm11205,PABP1
Gm11205,Pou5f1
Gm11205,RBM10
Gm11205,SUZ12
Gm11205,TTP
Gm11205,TYY1
Gm11205,VIGLN
Gm11228,AGO2
Gm11228,Fus
Gm11228,KPYM
Gm11228,PABP1
Gm11228,Pou5f1
Gm11228,RFOX2
Gm11228,TYY1
Gm11292,AGO2
Gm11292,Ezh2
Gm11292,FMRP
Gm11292,KPYM
Gm11292,Pou5f1
Gm11292,RBM10
Gm11292,SUZ12
Gm11292,TTP
Gm11292,TYY1
Gm11292,VIGLN
Gm11592,AGO2
Gm11592,FMRP
Gm11592,PABP1
Gm11592,Ptbp2
Gm11592,RFOX2
Gm11592,SFPQ
Gm11592,Tdp43
Gm11592,Upf1
Gm11592,VIGLN
Gm11610,AGO2
Gm11610,Fus
Gm11610,JARID2
Gm11610,PABP1
Gm11610,RFOX2
Gm11610,Tdp43
Gm11610,Upf1
Gm11610,VIGLN
Gm11837,AGO2
Gm11837,DAZL
Gm11837,FMRP
Gm11837,Fus
Gm11837,KPYM
Gm11837,Ptbp2
Gm11837,RFOX2
Gm11837,TAF15
Gm11837,Tdp43
Gm11837,VIGLN
Gm12064,AGO2
Gm12064,Fus
Gm12064,KPYM
Gm12064,RFOX2
Gm12064,TAF15
Gm12064,Tdp43
Gm12064,VIGLN
Gm12160,AGO2
Gm12160,FMR1
Gm12160,Pou5f1
Gm12160,RFOX2
Gm12160,TYY1
Gm12160,VIGLN
Gm12298,AGO2
Gm12298,Celf1
Gm12298,FMR1
Gm12298,Pou5f1
Gm12298,PSPC1
Gm12298,RFOX2
Gm12298,SFPQ
Gm12298,Tdp43
Gm12298,TYY1
Gm12708,AGO2
Gm12708,Pou5f1
Gm12708,RFOX2
Gm12720,AGO2
Gm12720,FMR1
Gm12720,KPYM
Gm12720,PABP1
Gm12720,RFOX2
Gm12724,AGO2
Gm12724,FMRP
Gm12724,KPYM
Gm12724,PABP1
Gm12724,Pou5f1
Gm12724,QKI
Gm12724,RFOX2
Gm12724,Tdp43
Gm12724,VIGLN
Gm12758,AGO2
Gm12758,Celf1
Gm12758,DAZL
Gm12758,FMRP
Gm12758,Fus
Gm12758,PABP1
Gm12758,PABPC1
Gm12758,QKI
Gm12758,RFOX2
Gm12758,SFPQ
Gm12758,Tdp43
Gm12758,TIA1
Gm12758,TTP
Gm12758,Upf1
Gm12930,AGO2
Gm12930,Fus
Gm12930,KPYM
Gm12930,Pou5f1
Gm12930,RFOX2
Gm12930,SFPQ
Gm12930,Tdp43
Gm13336,AGO2
Gm13336,RFOX2
Gm13415,AGO2
Gm13415,FMR1
Gm13415,Pou5f1
Gm13415,RFOX2
Gm13415,Tdp43
Gm13415,TYY1
Gm13415,Upf1
Gm13415,VIGLN
Gm13490,AGO2
Gm13490,FMR1
Gm13490,Pou5f1
Gm13490,PSPC1
Gm13490,Ptbp2
Gm13490,QKI
Gm13490,RFOX2
Gm13490,Srsf3
Gm13490,Tdp43
Gm13490,VIGLN
Gm13599,AGO2
Gm13599,DAZL
Gm13599,FMR1
Gm13599,PABP1
Gm13599,Pou5f1
Gm13599,RFOX2
Gm13599,Tdp43
Gm13599,VIGLN
Gm13601,AGO2
Gm13601,Celf1
Gm13601,Fus
Gm13601,RFOX2
Gm13601,Tdp43
Gm13629,AGO2
Gm13629,FMR1
Gm13629,FMRP
Gm13629,Fus
Gm13629,PABP1
Gm13629,Pou5f1
Gm13629,RFOX2
Gm13629,SFPQ
Gm13629,Tdp43
Gm13629,TTP
Gm13629,TYY1
Gm13629,Upf1
Gm13629,VIGLN
Gm13847,AGO2
Gm13847,FMR1
Gm13847,FMRP
Gm13847,Fus
Gm13847,KPYM
Gm13847,PABP1
Gm13847,Pou5f1
Gm13847,QKI
Gm13847,RFOX2
Gm13847,SFPQ
Gm13847,Tdp43
Gm13847,TYY1
Gm13847,Upf1
Gm13847,VIGLN
Gm13853,AGO2
Gm13853,FMRP
Gm13853,Fus
Gm13853,RFOX2
Gm13853,Tdp43
Gm13853,VIGLN
Gm13857,AGO2
Gm13857,Elavl1
Gm13857,PABP1
Gm13857,Pou5f1
Gm13857,RFOX2
Gm13857,SFPQ
Gm13857,VIGLN
Gm13936,AGO2
Gm13936,DAZL
Gm13936,Fus
Gm13936,KPYM
Gm13936,PABP1
Gm13936,Pou5f1
Gm13936,QKI
Gm13936,RBM10
Gm13936,RFOX2
Gm13936,Tdp43
Gm13936,TTP
Gm13936,TYY1
Gm13936,VIGLN
Gm14002,AGO2
Gm14002,Pou5f1
Gm14002,Tdp43
Gm14002,TYY1
Gm14216,AGO2
Gm14216,DAZL
Gm14216,KPYM
Gm14216,Pou5f1
Gm14216,Ptbp2
Gm14216,QKI
Gm14216,RFOX2
Gm14216,Tdp43
Gm14216,TYY1
Gm14216,VIGLN
Gm14342,AGO2
Gm14342,FMR1
Gm14342,Fus
Gm14342,KPYM
Gm14342,PABP1
Gm14342,Pou5f1
Gm14342,RFOX2
Gm14342,Tdp43
Gm14342,TYY1
Gm14342,Upf1
Gm14342,VIGLN
Gm14453,AGO2
Gm14453,Celf1
Gm14453,DAZL
Gm14453,Fus
Gm14453,PABP1
Gm14453,QKI
Gm14453,RFOX2
Gm14453,SFPQ
Gm14453,TIA1
Gm14461,AGO2
Gm14461,FMR1
Gm14461,PABP1
Gm14461,Pou5f1
Gm14461,PSPC1
Gm14461,Ptbp2
Gm14461,RFOX2
Gm14461,TIA1
Gm14461,TTP
Gm14493,AGO2
Gm14493,PABP1
Gm14493,RFOX2
Gm14493,SFPQ
Gm14634,AGO2
Gm14634,Elavl1
Gm14634,FMR1
Gm14634,FMRP
Gm14634,Fus
Gm14634,JARID2
Gm14634,KPYM
Gm14634,PABP1
Gm14634,Pou5f1
Gm14634,PSPC1
Gm14634,Ptbp2
Gm14634,QKI
Gm14634,RBM10
Gm14634,RFOX2
Gm14634,SFPQ
Gm14634,SUZ12
Gm14634,Tdp43
Gm14634,TTP
Gm14634,TYY1
Gm14634,Upf1
Gm14634,VIGLN
Gm14661,AGO2
Gm14661,DAZL
Gm14661,Elavl1
Gm14661,FMR1
Gm14661,FMRP
Gm14661,Fus
Gm14661,KPYM
Gm14661,PABP1
Gm14661,Pou5f1
Gm14661,QKI
Gm14661,RBM10
Gm14661,RFOX2
Gm14661,SFPQ
Gm14661,Tdp43
Gm14661,TTP
Gm14661,TYY1
Gm14661,Upf1
Gm14661,VIGLN
Gm15083,AGO2
Gm15083,Elavl1
Gm15083,FMR1
Gm15083,FMRP
Gm15083,Fus
Gm15083,KPYM
Gm15083,Pou5f1
Gm15083,RBM10
Gm15083,RFOX2
Gm15083,SUZ12
Gm15083,TAF15
Gm15083,Tdp43
Gm15083,TYY1
Gm15270,AGO2
Gm15270,Fus
Gm15270,PABP1
Gm15270,RBM10
Gm15270,RFOX2
Gm15270,Tdp43
Gm15270,TIA1
Gm15270,TYY1
Gm15270,Upf1
Gm15350,AGO2
Gm15350,Fus
Gm15350,RBM10
Gm15350,RFOX2
Gm15350,Tdp43
Gm15398,AGO2
Gm15398,DAZL
Gm15398,Elavl1
Gm15398,FMRP
Gm15398,Fus
Gm15398,KPYM
Gm15398,Nova-2
Gm15398,PABP1
Gm15398,Pou5f1
Gm15398,Ptbp2
Gm15398,QKI
Gm15398,RFOX2
Gm15398,SFPQ
Gm15398,TAF15
Gm15398,Tdp43
Gm15398,TTP
Gm15398,TYY1
Gm15408,AGO2
Gm15408,Fus
Gm15408,Pou5f1
Gm15408,RFOX2
Gm15408,Tdp43
Gm15408,Upf1
Gm15411,AGO2
Gm15411,Pou5f1
Gm15411,RFOX2
Gm15411,TYY1
Gm15414,AGO2
Gm15414,FMRP
Gm15414,Fus
Gm15414,PABP1
Gm15414,Pou5f1
Gm15414,QKI
Gm15414,RFOX2
Gm15414,SFPQ
Gm15414,TAF15
Gm15414,Tdp43
Gm15414,TYY1
Gm15414,Upf1
Gm15418,AGO2
Gm15418,Celf1
Gm15418,Fus
Gm15418,MSI2H
Gm15418,PABP1
Gm15418,Pou5f1
Gm15418,RFOX2
Gm15418,SFPQ
Gm15418,Tdp43
Gm15418,TIA1
Gm15523,AGO2
Gm15523,Celf1
Gm15523,Fus
Gm15523,RFOX2
Gm15523,Tdp43
Gm15523,TYY1
Gm15533,AGO2
Gm15533,Celf1
Gm15533,Pou5f1
Gm15533,RFOX2
Gm15533,SFPQ
Gm15533,Tdp43
Gm15533,TYY1
Gm15533,Upf1
Gm15677,AGO2
Gm15677,Pou5f1
Gm15677,RBM10
Gm15677,RFOX2
Gm15677,TYY1
Gm15816,AGO2
Gm15816,Celf1
Gm15816,FMR1
Gm15816,FMRP
Gm15816,Fus
Gm15816,PABP1
Gm15816,PABPC1
Gm15816,Pou5f1
Gm15816,RFOX2
Gm15816,SFPQ
Gm15816,Tdp43
Gm15816,TYY1
Gm15816,Upf1
Gm15830,AGO2
Gm15830,PABP1
Gm15830,RFOX2
Gm15830,Tdp43
Gm15830,Upf1
Gm15863,AGO2
Gm15863,DAZL
Gm15863,Fus
Gm15863,PABP1
Gm15863,PSPC1
Gm15863,RFOX2
Gm15863,SFPQ
Gm15863,Tdp43
Gm15863,TIA1
Gm15863,TTP
Gm15866,AGO2
Gm15866,PABP1
Gm15866,Pou5f1
Gm15866,QKI
Gm15866,RFOX2
Gm15866,TYY1
Gm15890,AGO2
Gm15890,Fus
Gm15890,KPYM
Gm15890,RFOX2
Gm15890,SFPQ
Gm15890,Tdp43
Gm15943,AGO2
Gm15943,Celf1
Gm15943,DAZL
Gm15943,Elavl1
Gm15943,Fus
Gm15943,Pou5f1
Gm15943,QKI
Gm15943,RFOX2
Gm15943,Tdp43
Gm15943,Upf1
Gm15943,VIGLN
Gm15976,AGO2
Gm15976,Celf1
Gm15976,Fus
Gm15976,KPYM
Gm15976,PABP1
Gm15976,PABPC1
Gm15976,RBM10
Gm15976,RFOX2
Gm15976,SFPQ
Gm15976,Tdp43
Gm15976,TIA1
Gm15976,TTP
Gm15983,AGO2
Gm15983,Elavl1
Gm15983,FMR1
Gm15983,FMRP
Gm15983,Fus
Gm15983,Pou5f1
Gm15983,Ptbp2
Gm15983,RFOX2
Gm15983,Tdp43
Gm15983,TYY1
Gm15983,Upf1
Gm16033,AGO2
Gm16033,CBX7
Gm16033,Celf1
Gm16033,DAZL
Gm16033,FMRP
Gm16033,Fus
Gm16033,Nova-2
Gm16033,PSPC1
Gm16033,SFPQ
Gm16033,Tdp43
Gm16033,TTP
Gm16033,TYY1
Gm16034,AGO2
Gm16034,Nova-2
Gm16034,PSPC1
Gm16034,SFPQ
Gm16034,TTP
Gm16272,AGO2
Gm16272,Celf1
Gm16272,Fus
Gm16272,PABP1
Gm16272,Ptbp2
Gm16272,RFOX2
Gm16272,SFPQ
Gm16272,TAF15
Gm16272,Tdp43
Gm16559,AGO2
Gm16559,Pou5f1
Gm16559,RFOX2
Gm16559,Tdp43
Gm16559,TYY1
Gm16579,AGO2
Gm16579,FMR1
Gm16579,KPYM
Gm16579,RBM10
Gm16579,RFOX2
Gm16579,TIA1
Gm16579,TTP
Gm16608,AGO2
Gm16608,FMR1
Gm16608,Pou5f1
Gm16608,RBM10
Gm16608,RFOX2
Gm16608,TYY1
Gm16630,AGO2
Gm16630,EED
Gm16630,FMR1
Gm16630,KPYM
Gm16630,PABP1
Gm16630,Pou5f1
Gm16630,Ptbp2
Gm16630,QKI
Gm16630,RBM10
Gm16630,RFOX2
Gm16630,SFPQ
Gm16630,SUZ12
Gm16630,TTP
Gm16630,TYY1
Gm16630,VIGLN
Gm16662,AGO2
Gm16662,Elavl1
Gm16662,KPYM
Gm16662,Pou5f1
Gm16662,RFOX2
Gm16662,TYY1
Gm16662,VIGLN
Gm16722,AGO2
Gm16722,Fus
Gm16722,PABP1
Gm16722,Pou5f1
Gm16722,QKI
Gm16722,RFOX2
