19106	33310
19106	33427
20050	33319
20050	33292
20050	33328
20050	33333
20050	33408
20050	33409
20050	33362
23793	33373
23793	33350
23793	33387
23793	33374
23793	33300
23793	33356
11314	33373
11314	33406
11314	33256
11314	33387
11314	33291
11314	33300
11314	33356
18607	33373
18607	33360
18607	33350
18607	33387
18607	33300
18607	33356
25819	33373
25819	33350
25819	33387
25819	33300
25819	33356
25520	33373
25520	33406
25520	33360
25520	33350
25520	33387
25520	33291
25520	33427
25520	33300
25520	33356
17054	33373
17054	33406
17054	33360
17054	33350
17054	33387
17054	33427
17054	33300
17054	33356
17244	33373
17244	33406
17244	33350
17244	33387
17244	33291
17244	33427
17244	33300
17244	33356
15732	33373
15732	33406
15732	33360
15732	33350
15732	33387
15732	33427
15732	33300
15732	33356
10298	33373
10298	33406
10298	33350
10298	33387
10298	33421
10298	33300
10298	33356
14938	33373
14938	33406
14938	33350
14938	33387
14938	33427
14938	33421
14938	33300
14938	33356
2145	33373
2145	33406
2145	33256
2145	33350
2145	33387
2145	33291
2145	33427
2145	33421
2145	33300
2145	33356
3383	33373
3383	33350
3383	33387
3383	33421
3383	33300
291	33373
291	33360
291	33387
291	33300
291	33356
20822	33373
20822	33406
20822	33360
20822	33350
20822	33387
20822	33291
20822	33427
20822	33343
20822	33300
20822	33356
13541	33373
13541	33406
13541	33256
13541	33350
13541	33387
13541	33291
13541	33427
13541	33344
13541	33300
13541	33356
30134	33373
30134	33360
30134	33350
30134	33387
30134	33427
30134	33300
30134	33356
18109	33373
18109	33360
18109	33256
18109	33350
18109	33387
18109	33291
18109	33300
18109	33356
25033	33373
25033	33406
25033	33360
25033	33387
25033	33291
25033	33427
25033	33343
25033	33434
25033	33356
7023	33373
7023	33406
7023	33387
7023	33300
7023	33356
10285	33373
10285	33350
10285	33387
10285	33300
20796	33373
20796	33406
20796	33360
20796	33350
20796	33387
20796	33291
20796	33427
20796	33300
20796	33356
26735	33373
26735	33360
26735	33387
26735	33291
26735	33427
26735	33300
26735	33356
3433	33373
3433	33350
3433	33387
3433	33300
3433	33356
7954	33373
7954	33360
7954	33350
7954	33387
7954	33427
7954	33434
7954	33300
10448	33373
10448	33406
10448	33350
10448	33387
10448	33291
10448	33427
10448	33344
10448	33300
10448	33356
17451	33373
17451	33350
17451	33387
17451	33356
24683	33373
24683	33387
24683	33300
23849	33373
23849	33350
23849	33387
23849	33291
23849	33427
23849	33300
23849	33356
20060	33373
20060	33350
20060	33387
20060	33300
25843	33373
25843	33360
25843	33350
25843	33387
16137	33373
16137	33350
16137	33387
16137	33427
16137	33434
16137	33300
16137	33356
4425	33373
4425	33406
4425	33360
4425	33350
4425	33387
4425	33291
4425	33427
4425	33300
4425	33356
15412	33373
15412	33356
8863	33373
8863	33360
8863	33350
8863	33387
8863	33427
8863	33344
8863	33300
27452	33373
27452	33406
27452	33360
27452	33256
27452	33350
27452	33387
27452	33427
27452	33343
27452	33434
27452	33300
27452	33356
33076	33373
33076	33406
33076	33360
33076	33350
33076	33387
33076	33291
33076	33427
33076	33421
33076	33300
33076	33356
25432	33373
25432	33350
25432	33427
25432	33300
23642	33373
23642	33387
23642	33427
23642	33300
9841	33373
9841	33350
9841	33387
9841	33427
9841	33317
9841	33300
9841	33356
3367	33373
3367	33360
3367	33350
3367	33387
3367	33427
3367	33300
3367	33356
32242	33373
32242	33406
32242	33350
32242	33387
32242	33291
32242	33300
32242	33356
19836	33373
19836	33406
19836	33360
19836	33256
19836	33350
19836	33387
19836	33291
19836	33427
