label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
901,0.78,0.889,0.64,0.92,0.744,0.583,0.864,0.879
902,0.8,0.895,0.68,0.92,0.773,0.618,0.899,0.893
903,0.82,1.0,0.64,1.0,0.78,0.686,0.837,0.885
904,0.78,0.889,0.64,0.92,0.744,0.583,0.866,0.874
905,0.78,0.85,0.68,0.88,0.756,0.572,0.862,0.882
906,0.82,1.0,0.64,1.0,0.78,0.686,0.928,0.942
907,0.8,0.941,0.64,0.96,0.762,0.633,0.891,0.908
908,0.78,0.889,0.64,0.92,0.744,0.583,0.893,0.908
909,0.82,1.0,0.64,1.0,0.78,0.686,0.936,0.945
910,0.8,0.941,0.64,0.96,0.762,0.633,0.901,0.888
911,0.76,0.842,0.64,0.88,0.727,0.536,0.89,0.905
912,0.78,0.889,0.64,0.92,0.744,0.583,0.877,0.887
913,0.82,0.944,0.68,0.96,0.791,0.667,0.914,0.926
914,0.74,0.773,0.68,0.8,0.723,0.483,0.835,0.786
915,0.78,0.85,0.68,0.88,0.756,0.572,0.851,0.828
916,0.8,0.941,0.64,0.96,0.762,0.633,0.899,0.899
917,0.82,1.0,0.64,1.0,0.78,0.686,0.906,0.927
918,0.82,0.944,0.68,0.96,0.791,0.667,0.872,0.895
919,0.78,0.889,0.64,0.92,0.744,0.583,0.88,0.887
920,0.8,0.941,0.64,0.96,0.762,0.633,0.923,0.925
921,0.76,0.842,0.64,0.88,0.727,0.536,0.875,0.892
922,0.74,0.8,0.64,0.84,0.711,0.49,0.808,0.804
923,0.82,0.944,0.68,0.96,0.791,0.667,0.885,0.906
924,0.78,0.889,0.64,0.92,0.744,0.583,0.907,0.913
925,0.72,0.789,0.6,0.84,0.682,0.453,0.797,0.764
926,0.8,0.941,0.64,0.96,0.762,0.633,0.877,0.897
927,0.8,0.941,0.64,0.96,0.762,0.633,0.901,0.923
928,0.82,1.0,0.64,1.0,0.78,0.686,0.938,0.947
929,0.8,0.941,0.64,0.96,0.762,0.633,0.923,0.931
930,0.8,0.941,0.64,0.96,0.762,0.633,0.907,0.879
931,0.82,0.944,0.68,0.96,0.791,0.667,0.882,0.898
932,0.78,0.938,0.6,0.96,0.732,0.6,0.899,0.919
933,0.84,1.0,0.68,1.0,0.81,0.718,0.944,0.957
934,0.78,0.889,0.64,0.92,0.744,0.583,0.779,0.777
935,0.8,0.895,0.68,0.92,0.773,0.618,0.883,0.906
936,0.82,0.944,0.68,0.96,0.791,0.667,0.949,0.953
937,0.8,0.941,0.64,0.96,0.762,0.633,0.89,0.918
938,0.82,1.0,0.64,1.0,0.78,0.686,0.878,0.912
939,0.78,0.889,0.64,0.92,0.744,0.583,0.87,0.865
940,0.82,1.0,0.64,1.0,0.78,0.686,0.949,0.957
941,0.8,0.895,0.68,0.92,0.773,0.618,0.918,0.923
942,0.78,0.889,0.64,0.92,0.744,0.583,0.88,0.903
943,0.82,0.944,0.68,0.96,0.791,0.667,0.949,0.956
944,0.84,1.0,0.68,1.0,0.81,0.718,0.965,0.972
945,0.82,1.0,0.64,1.0,0.78,0.686,0.942,0.96
946,0.78,0.85,0.68,0.88,0.756,0.572,0.877,0.842
947,0.82,1.0,0.64,1.0,0.78,0.686,0.957,0.965
948,0.84,1.0,0.68,1.0,0.81,0.718,0.966,0.972
949,0.8,0.941,0.64,0.96,0.762,0.633,0.917,0.929
950,0.74,0.773,0.68,0.8,0.723,0.483,0.792,0.78
951,0.8,0.895,0.68,0.92,0.773,0.618,0.922,0.92
952,0.78,0.889,0.64,0.92,0.744,0.583,0.878,0.888
953,0.82,1.0,0.64,1.0,0.78,0.686,0.962,0.967
954,0.8,0.941,0.64,0.96,0.762,0.633,0.925,0.941
955,0.82,0.944,0.68,0.96,0.791,0.667,0.926,0.937
956,0.82,0.944,0.68,0.96,0.791,0.667,0.891,0.888
957,0.8,0.941,0.64,0.96,0.762,0.633,0.904,0.898
