label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label940,0.412,0.417,0.442,0.383,0.429,-0.176,0.39,0.431
label941,0.565,0.588,0.435,0.695,0.5,0.134,0.565,0.55
label942,0.51,0.515,0.325,0.695,0.398,0.021,0.504,0.536
label943,0.516,0.516,0.513,0.519,0.515,0.032,0.518,0.527
label944,0.471,0.477,0.617,0.325,0.538,-0.061,0.436,0.447
label945,0.468,0.476,0.656,0.279,0.552,-0.07,0.429,0.434
label946,0.448,0.445,0.422,0.474,0.433,-0.104,0.414,0.451
label947,0.519,0.526,0.396,0.643,0.452,0.04,0.53,0.555
label948,0.5,0.5,0.682,0.318,0.577,0,0.455,0.454
label949,0.455,0.444,0.357,0.552,0.396,-0.093,0.421,0.466
label950,0.549,0.543,0.617,0.481,0.578,0.098,0.547,0.549
label951,0.477,0.479,0.506,0.448,0.492,-0.046,0.499,0.498
label952,0.552,0.555,0.526,0.578,0.54,0.104,0.524,0.502
label953,0.532,0.536,0.481,0.584,0.507,0.065,0.529,0.533
label954,0.516,0.516,0.513,0.519,0.515,0.032,0.51,0.518
label955,0.468,0.47,0.5,0.435,0.484,-0.065,0.467,0.46
label956,0.468,0.471,0.532,0.403,0.5,-0.065,0.442,0.465
label957,0.461,0.459,0.435,0.487,0.447,-0.078,0.469,0.506
label958,0.513,0.512,0.565,0.461,0.537,0.026,0.486,0.479
label959,0.536,0.537,0.519,0.552,0.528,0.071,0.503,0.489
label960,0.539,0.528,0.747,0.331,0.618,0.086,0.487,0.467
label961,0.503,0.503,0.526,0.481,0.514,0.007,0.524,0.533
label962,0.435,0.442,0.494,0.377,0.466,-0.131,0.414,0.461
label963,0.542,0.557,0.416,0.669,0.476,0.087,0.522,0.554
label964,0.438,0.432,0.39,0.487,0.41,-0.124,0.407,0.438
label965,0.523,0.522,0.539,0.506,0.53,0.045,0.497,0.5
label966,0.419,0.376,0.247,0.591,0.298,-0.173,0.344,0.412
label967,0.523,0.524,0.5,0.545,0.512,0.046,0.547,0.535
label968,0.471,0.466,0.403,0.539,0.432,-0.059,0.494,0.509
label969,0.539,0.548,0.442,0.636,0.489,0.079,0.515,0.511
label970,0.49,0.488,0.396,0.584,0.437,-0.02,0.467,0.477
label971,0.565,0.561,0.597,0.532,0.579,0.13,0.56,0.564
label972,0.506,0.505,0.662,0.351,0.573,0.014,0.494,0.485
label973,0.432,0.42,0.357,0.506,0.386,-0.138,0.391,0.426
label974,0.484,0.485,0.532,0.435,0.508,-0.033,0.469,0.468
label975,0.529,0.531,0.506,0.552,0.518,0.059,0.547,0.515
label976,0.419,0.444,0.643,0.195,0.525,-0.182,0.349,0.408
label977,0.516,0.515,0.565,0.468,0.539,0.033,0.48,0.486
label978,0.451,0.457,0.513,0.39,0.483,-0.098,0.415,0.441
label979,0.484,0.483,0.474,0.494,0.479,-0.032,0.478,0.481
label980,0.383,0.385,0.39,0.377,0.387,-0.234,0.341,0.399
label981,0.477,0.475,0.429,0.526,0.451,-0.046,0.494,0.503
label982,0.461,0.453,0.377,0.545,0.411,-0.079,0.433,0.443
label983,0.406,0.408,0.416,0.396,0.412,-0.188,0.399,0.438
label984,0.445,0.452,0.519,0.37,0.483,-0.112,0.445,0.466
label985,0.545,0.56,0.422,0.669,0.481,0.094,0.551,0.538
label986,0.445,0.422,0.299,0.591,0.35,-0.115,0.416,0.456
label987,0.471,0.469,0.448,0.494,0.458,-0.059,0.448,0.464
label988,0.516,0.517,0.5,0.532,0.508,0.032,0.526,0.549
label989,0.562,0.581,0.442,0.682,0.502,0.127,0.568,0.547
label990,0.425,0.429,0.455,0.396,0.442,-0.15,0.399,0.423
label991,0.477,0.481,0.571,0.383,0.522,-0.046,0.454,0.474
label992,0.442,0.442,0.442,0.442,0.442,-0.117,0.43,0.46
label993,0.539,0.538,0.545,0.532,0.542,0.078,0.547,0.53
label994,0.425,0.403,0.312,0.539,0.352,-0.153,0.383,0.426
label995,0.565,0.571,0.519,0.61,0.544,0.13,0.591,0.593
label996,0.494,0.492,0.377,0.61,0.426,-0.013,0.476,0.501
label997,0.516,0.516,0.513,0.519,0.515,0.032,0.52,0.507
label998,0.468,0.465,0.429,0.506,0.446,-0.065,0.428,0.441
label999,0.484,0.485,0.519,0.448,0.502,-0.033,0.474,0.475
