label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label640,0.516,0.516,0.532,0.5,0.524,0.032,0.521,0.602
label641,0.484,0.485,0.526,0.442,0.505,-0.033,0.478,0.538
label642,0.532,0.533,0.526,0.539,0.529,0.065,0.504,0.532
label643,0.536,0.536,0.526,0.545,0.531,0.071,0.538,0.56
label644,0.461,0.462,0.481,0.442,0.471,-0.078,0.441,0.503
label645,0.416,0.418,0.429,0.403,0.423,-0.169,0.414,0.495
label646,0.558,0.56,0.545,0.571,0.553,0.117,0.565,0.631
label647,0.451,0.452,0.455,0.448,0.453,-0.097,0.417,0.461
label648,0.5,0.5,0.494,0.506,0.497,0,0.497,0.574
label649,0.532,0.532,0.539,0.526,0.535,0.065,0.52,0.575
label650,0.562,0.561,0.571,0.552,0.566,0.123,0.586,0.648
label651,0.529,0.529,0.539,0.519,0.534,0.058,0.496,0.52
label652,0.477,0.478,0.494,0.461,0.486,-0.045,0.491,0.567
label653,0.51,0.509,0.532,0.487,0.521,0.02,0.495,0.497
label654,0.523,0.523,0.526,0.519,0.524,0.045,0.526,0.581
label655,0.529,0.528,0.545,0.513,0.537,0.058,0.524,0.593
label656,0.51,0.51,0.5,0.519,0.505,0.019,0.489,0.559
label657,0.523,0.524,0.5,0.545,0.512,0.046,0.532,0.597
label658,0.471,0.47,0.455,0.487,0.462,-0.058,0.447,0.466
label659,0.49,0.49,0.474,0.506,0.482,-0.019,0.464,0.522
label660,0.539,0.539,0.532,0.545,0.536,0.078,0.518,0.589
label661,0.458,0.455,0.422,0.494,0.438,-0.085,0.469,0.496
label662,0.471,0.469,0.442,0.5,0.455,-0.059,0.454,0.476
label663,0.461,0.46,0.448,0.474,0.454,-0.078,0.474,0.529
label664,0.497,0.497,0.532,0.461,0.514,-0.007,0.475,0.514
label665,0.523,0.523,0.526,0.519,0.524,0.045,0.56,0.631
label666,0.506,0.506,0.539,0.474,0.522,0.013,0.528,0.607
label667,0.526,0.527,0.506,0.545,0.517,0.052,0.54,0.609
label668,0.506,0.507,0.5,0.513,0.503,0.013,0.565,0.623
label669,0.513,0.513,0.519,0.506,0.516,0.026,0.524,0.604
label670,0.487,0.488,0.519,0.455,0.503,-0.026,0.465,0.487
label671,0.5,0.5,0.481,0.519,0.49,0,0.493,0.548
label672,0.487,0.486,0.435,0.539,0.459,-0.026,0.499,0.538
label673,0.536,0.535,0.539,0.532,0.537,0.071,0.551,0.554
label674,0.539,0.541,0.519,0.558,0.53,0.078,0.501,0.567
label675,0.571,0.571,0.578,0.565,0.574,0.143,0.562,0.606
label676,0.565,0.558,0.623,0.506,0.589,0.131,0.557,0.639
label677,0.432,0.431,0.429,0.435,0.43,-0.136,0.412,0.491
label678,0.497,0.497,0.494,0.5,0.495,-0.006,0.534,0.582
label679,0.49,0.49,0.481,0.5,0.485,-0.019,0.478,0.518
label680,0.51,0.51,0.506,0.513,0.508,0.019,0.536,0.585
label681,0.5,0.5,0.513,0.487,0.506,0,0.523,0.563
label682,0.545,0.547,0.532,0.558,0.539,0.091,0.555,0.587
label683,0.506,0.506,0.532,0.481,0.519,0.013,0.497,0.511
label684,0.523,0.522,0.545,0.5,0.533,0.046,0.529,0.568
label685,0.51,0.51,0.506,0.513,0.508,0.019,0.528,0.564
label686,0.487,0.486,0.435,0.539,0.459,-0.026,0.475,0.49
label687,0.477,0.478,0.494,0.461,0.486,-0.045,0.464,0.497
label688,0.529,0.528,0.558,0.5,0.543,0.059,0.506,0.571
label689,0.506,0.507,0.5,0.513,0.503,0.013,0.477,0.549
label690,0.451,0.45,0.435,0.468,0.442,-0.097,0.459,0.512
label691,0.519,0.519,0.545,0.494,0.532,0.039,0.518,0.578
label692,0.571,0.568,0.597,0.545,0.582,0.143,0.58,0.644
label693,0.487,0.487,0.494,0.481,0.49,-0.026,0.498,0.582
label694,0.503,0.503,0.494,0.513,0.498,0.006,0.501,0.561
label695,0.471,0.469,0.448,0.494,0.458,-0.059,0.476,0.513
label696,0.565,0.562,0.591,0.539,0.576,0.13,0.56,0.577
label697,0.51,0.511,0.455,0.565,0.481,0.02,0.484,0.528
label698,0.523,0.523,0.506,0.539,0.515,0.045,0.496,0.54
label699,0.487,0.488,0.526,0.448,0.506,-0.026,0.5,0.574
label700,0.545,0.545,0.545,0.545,0.545,0.091,0.54,0.58
label701,0.51,0.51,0.474,0.545,0.492,0.02,0.47,0.525
label702,0.497,0.497,0.474,0.519,0.485,-0.007,0.507,0.55
label703,0.487,0.487,0.481,0.494,0.484,-0.026,0.479,0.523
label704,0.487,0.486,0.468,0.506,0.477,-0.026,0.475,0.553
label705,0.49,0.491,0.506,0.474,0.498,-0.019,0.497,0.59
label706,0.523,0.522,0.532,0.513,0.527,0.045,0.533,0.545
label707,0.519,0.519,0.532,0.506,0.526,0.039,0.542,0.624
label708,0.455,0.453,0.442,0.468,0.447,-0.091,0.453,0.512
label709,0.529,0.532,0.487,0.571,0.508,0.059,0.523,0.568
label710,0.497,0.497,0.494,0.5,0.495,-0.006,0.461,0.507
label711,0.471,0.471,0.468,0.474,0.469,-0.058,0.489,0.519
label712,0.425,0.42,0.39,0.461,0.404,-0.15,0.446,0.518
