label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label852,0.458,0.455,0.429,0.487,0.441,-0.085,0.457,0.464
label853,0.506,0.507,0.448,0.565,0.476,0.013,0.484,0.496
label854,0.445,0.448,0.481,0.409,0.464,-0.111,0.44,0.466
label855,0.422,0.424,0.435,0.409,0.429,-0.156,0.427,0.442
label856,0.484,0.485,0.539,0.429,0.511,-0.033,0.496,0.504
label857,0.487,0.487,0.487,0.487,0.487,-0.026,0.465,0.456
label858,0.494,0.494,0.513,0.474,0.503,-0.013,0.489,0.489
label859,0.519,0.519,0.545,0.494,0.532,0.039,0.537,0.515
label860,0.438,0.423,0.338,0.539,0.375,-0.126,0.428,0.443
label861,0.49,0.49,0.455,0.526,0.471,-0.02,0.454,0.47
label862,0.506,0.506,0.558,0.455,0.531,0.013,0.484,0.485
label863,0.484,0.482,0.429,0.539,0.454,-0.033,0.462,0.455
label864,0.523,0.524,0.487,0.558,0.505,0.046,0.55,0.537
label865,0.448,0.447,0.442,0.455,0.444,-0.104,0.44,0.457
label866,0.503,0.504,0.429,0.578,0.463,0.007,0.52,0.519
label867,0.464,0.462,0.429,0.5,0.444,-0.072,0.468,0.47
label868,0.529,0.529,0.526,0.532,0.528,0.058,0.531,0.506
label869,0.487,0.485,0.422,0.552,0.451,-0.026,0.484,0.473
label870,0.503,0.503,0.494,0.513,0.498,0.006,0.513,0.552
label871,0.386,0.378,0.351,0.422,0.364,-0.228,0.374,0.415
label872,0.477,0.477,0.474,0.481,0.476,-0.045,0.467,0.484
label873,0.455,0.447,0.383,0.526,0.413,-0.092,0.442,0.462
label874,0.468,0.468,0.481,0.455,0.474,-0.065,0.459,0.456
label875,0.484,0.483,0.461,0.506,0.472,-0.033,0.488,0.474
label876,0.464,0.467,0.5,0.429,0.483,-0.072,0.456,0.46
label877,0.445,0.444,0.442,0.448,0.443,-0.11,0.454,0.45
label878,0.558,0.56,0.545,0.571,0.553,0.117,0.54,0.534
label879,0.464,0.463,0.442,0.487,0.452,-0.072,0.452,0.449
label880,0.506,0.507,0.474,0.539,0.49,0.013,0.504,0.511
label881,0.487,0.486,0.435,0.539,0.459,-0.026,0.482,0.482
label882,0.494,0.493,0.429,0.558,0.458,-0.013,0.464,0.475
label883,0.442,0.438,0.416,0.468,0.427,-0.117,0.439,0.497
label884,0.506,0.506,0.545,0.468,0.525,0.013,0.511,0.485
label885,0.526,0.529,0.468,0.584,0.497,0.052,0.514,0.517
label886,0.526,0.525,0.552,0.5,0.538,0.052,0.492,0.47
label887,0.519,0.522,0.455,0.584,0.486,0.039,0.515,0.526
