label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label318,0.46,0.462,0.48,0.44,0.471,-0.08,0.499,0.526
label319,0.42,0.417,0.4,0.44,0.408,-0.16,0.387,0.415
label320,0.58,0.583,0.56,0.6,0.571,0.16,0.683,0.723
label321,0.46,0.462,0.48,0.44,0.471,-0.08,0.403,0.421
label322,0.46,0.455,0.4,0.52,0.426,-0.081,0.542,0.534
label323,0.48,0.478,0.44,0.52,0.458,-0.04,0.446,0.486
label324,0.44,0.435,0.4,0.48,0.417,-0.12,0.472,0.451
label325,0.56,0.565,0.52,0.6,0.542,0.12,0.558,0.496
label326,0.46,0.45,0.36,0.56,0.4,-0.082,0.514,0.461
label327,0.46,0.462,0.48,0.44,0.471,-0.08,0.416,0.429
label328,0.52,0.522,0.48,0.56,0.5,0.04,0.499,0.496
label329,0.42,0.417,0.4,0.44,0.408,-0.16,0.405,0.41
label330,0.5,0.5,0.52,0.48,0.51,0,0.506,0.482
label331,0.48,0.48,0.48,0.48,0.48,-0.04,0.51,0.567
label332,0.58,0.591,0.52,0.64,0.553,0.161,0.52,0.57
label333,0.56,0.556,0.6,0.52,0.577,0.12,0.614,0.576
label334,0.46,0.462,0.48,0.44,0.471,-0.08,0.474,0.518
label335,0.6,0.6,0.6,0.6,0.6,0.2,0.507,0.55
label336,0.48,0.481,0.52,0.44,0.5,-0.04,0.394,0.412
label337,0.42,0.417,0.4,0.44,0.408,-0.16,0.392,0.415
label338,0.5,0.5,0.56,0.44,0.528,0,0.453,0.427
label339,0.4,0.414,0.48,0.32,0.444,-0.203,0.36,0.395
label340,0.56,0.565,0.52,0.6,0.542,0.12,0.518,0.489
label341,0.44,0.435,0.4,0.48,0.417,-0.12,0.338,0.393
label342,0.54,0.542,0.52,0.56,0.531,0.08,0.424,0.467
label343,0.44,0.444,0.48,0.4,0.462,-0.12,0.488,0.452
label344,0.58,0.583,0.56,0.6,0.571,0.16,0.53,0.482
label345,0.68,0.68,0.68,0.68,0.68,0.36,0.709,0.7
label346,0.52,0.519,0.56,0.48,0.538,0.04,0.496,0.478
label347,0.66,0.643,0.72,0.6,0.679,0.322,0.709,0.709
label348,0.32,0.32,0.32,0.32,0.32,-0.36,0.32,0.413
label349,0.48,0.478,0.44,0.52,0.458,-0.04,0.486,0.524
label350,0.48,0.481,0.52,0.44,0.5,-0.04,0.56,0.58
label351,0.56,0.552,0.64,0.48,0.593,0.122,0.509,0.545
label352,0.52,0.524,0.44,0.6,0.478,0.041,0.427,0.428
label353,0.44,0.448,0.52,0.36,0.481,-0.122,0.406,0.43
label354,0.58,0.571,0.64,0.52,0.604,0.161,0.608,0.533
label355,0.48,0.48,0.48,0.48,0.48,-0.04,0.44,0.485
label356,0.52,0.526,0.4,0.64,0.455,0.041,0.514,0.613
label357,0.44,0.421,0.32,0.56,0.364,-0.124,0.378,0.44
label358,0.3,0.273,0.24,0.36,0.255,-0.403,0.274,0.364
label359,0.48,0.481,0.52,0.44,0.5,-0.04,0.402,0.414
label360,0.4,0.391,0.36,0.44,0.375,-0.201,0.362,0.401
label361,0.34,0.346,0.36,0.32,0.353,-0.32,0.264,0.375
label362,0.52,0.519,0.56,0.48,0.538,0.04,0.507,0.467
label363,0.56,0.56,0.56,0.56,0.56,0.12,0.571,0.508
label364,0.56,0.56,0.56,0.56,0.56,0.12,0.608,0.651
label365,0.28,0.238,0.2,0.36,0.217,-0.446,0.24,0.354
label366,0.6,0.619,0.52,0.68,0.565,0.203,0.595,0.532
label367,0.58,0.571,0.64,0.52,0.604,0.161,0.622,0.613
label368,0.46,0.45,0.36,0.56,0.4,-0.082,0.581,0.514
label369,0.46,0.455,0.4,0.52,0.426,-0.081,0.44,0.455
label370,0.48,0.476,0.4,0.56,0.435,-0.041,0.558,0.622
label371,0.44,0.444,0.48,0.4,0.462,-0.12,0.406,0.425
label372,0.42,0.417,0.4,0.44,0.408,-0.16,0.424,0.445
label373,0.32,0.32,0.32,0.32,0.32,-0.36,0.21,0.347
label374,0.44,0.448,0.52,0.36,0.481,-0.122,0.405,0.432
label375,0.42,0.409,0.36,0.48,0.383,-0.161,0.323,0.384
label376,0.52,0.52,0.52,0.52,0.52,0.04,0.483,0.528
label377,0.4,0.407,0.44,0.36,0.423,-0.201,0.437,0.453
label378,0.62,0.625,0.6,0.64,0.612,0.24,0.621,0.708
label379,0.42,0.4,0.32,0.52,0.356,-0.163,0.402,0.45
label380,0.38,0.385,0.4,0.36,0.392,-0.24,0.293,0.378
label381,0.58,0.583,0.56,0.6,0.571,0.16,0.571,0.59
label382,0.32,0.304,0.28,0.36,0.292,-0.361,0.27,0.368
label383,0.38,0.35,0.28,0.48,0.311,-0.245,0.318,0.385
label384,0.32,0.32,0.32,0.32,0.32,-0.36,0.17,0.337
label385,0.4,0.4,0.4,0.4,0.4,-0.2,0.422,0.445
label386,0.32,0.32,0.32,0.32,0.32,-0.36,0.216,0.348
label387,0.52,0.516,0.64,0.4,0.571,0.041,0.51,0.47
label388,0.5,0.5,0.48,0.52,0.49,0,0.462,0.462
label389,0.38,0.393,0.44,0.32,0.415,-0.242,0.426,0.49
label390,0.58,0.577,0.6,0.56,0.588,0.16,0.531,0.566
label391,0.38,0.35,0.28,0.48,0.311,-0.245,0.386,0.408
label392,0.46,0.444,0.32,0.6,0.372,-0.083,0.427,0.435
label393,0.42,0.423,0.44,0.4,0.431,-0.16,0.346,0.395
label394,0.5,0.5,0.44,0.56,0.468,0,0.491,0.478
label395,0.62,0.615,0.64,0.6,0.627,0.24,0.653,0.681
label396,0.48,0.48,0.48,0.48,0.48,-0.04,0.445,0.432
label397,0.54,0.545,0.48,0.6,0.511,0.081,0.522,0.524
label398,0.48,0.48,0.48,0.48,0.48,-0.04,0.446,0.527
label399,0.46,0.464,0.52,0.4,0.491,-0.081,0.39,0.422
label400,0.26,0.269,0.28,0.24,0.275,-0.48,0.186,0.339
label401,0.52,0.517,0.6,0.44,0.556,0.041,0.442,0.434
label402,0.5,0.5,0.6,0.4,0.545,0,0.522,0.596
label403,0.46,0.462,0.48,0.44,0.471,-0.08,0.498,0.554
label404,0.6,0.593,0.64,0.56,0.615,0.201,0.598,0.601
label405,0.58,0.571,0.64,0.52,0.604,0.161,0.541,0.484
