label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label683,0.52,0.514,0.76,0.28,0.613,0.046,0.312,0.382
label684,0.1,0.143,0.16,0.04,0.151,-0.806,0.077,0.32
label685,0.14,0.154,0.16,0.12,0.157,-0.721,0.08,0.321
label686,0,0,0,0,0,-1,0,0.307
label687,0,0,0,0,0,-1,0,0.307
label688,0,0,0,0,0,-1,0,0.307
label689,0.02,0.038,0.04,0,0.039,-0.961,0,0.307
label690,0.62,0.588,0.8,0.44,0.678,0.257,0.643,0.618
label691,0.4,0.439,0.72,0.08,0.545,-0.26,0.374,0.437
label692,0.62,0.579,0.88,0.36,0.698,0.281,0.493,0.456
label693,0.56,0.6,0.36,0.76,0.45,0.131,0.36,0.441
label694,0.46,0.474,0.72,0.2,0.571,-0.094,0.374,0.405
label695,0.42,0.333,0.16,0.68,0.216,-0.187,0.397,0.424
label696,0.48,0.429,0.12,0.84,0.188,-0.058,0.242,0.427
label697,0.46,0.333,0.08,0.84,0.129,-0.123,0.371,0.414
label698,0.04,0.04,0.04,0.04,0.04,-0.92,0.04,0.315
label699,0.26,0.167,0.12,0.4,0.14,-0.5,0.102,0.319
label700,0.12,0.172,0.2,0.04,0.185,-0.77,0.064,0.313
label701,0.58,0.559,0.76,0.4,0.644,0.171,0.43,0.469
label702,0.6,0.571,0.8,0.4,0.667,0.218,0.488,0.479
label703,0.5,0.5,0.88,0.12,0.638,0,0.184,0.342
label704,0.06,0.042,0.04,0.08,0.041,-0.881,0.011,0.307
label705,0.04,0.04,0.04,0.04,0.04,-0.92,0.04,0.315
label706,0.12,0.172,0.2,0.04,0.185,-0.77,0.059,0.312
label707,0.46,0.475,0.76,0.16,0.585,-0.1,0.379,0.435
label708,0.36,0.41,0.64,0.08,0.5,-0.338,0.109,0.327
label709,0.46,0.438,0.28,0.64,0.341,-0.086,0.325,0.446
label710,0.28,0.323,0.4,0.16,0.357,-0.453,0.11,0.324
label711,0.32,0.154,0.08,0.56,0.105,-0.41,0.13,0.327
label712,0.38,0.385,0.4,0.36,0.392,-0.24,0.389,0.45
label713,0.36,0.111,0.04,0.68,0.059,-0.364,0.277,0.37
label714,0.46,0.478,0.88,0.04,0.62,-0.147,0.056,0.316
label715,0.32,0.39,0.64,0,0.485,-0.469,0.021,0.308
label716,0.16,0.207,0.24,0.08,0.222,-0.689,0.165,0.38
label717,0.44,0.463,0.76,0.12,0.576,-0.156,0.322,0.383
label718,0.34,0.346,0.36,0.32,0.353,-0.32,0.389,0.449
label719,0.16,0.242,0.32,0,0.276,-0.718,0.07,0.32
label720,0.44,0.444,0.48,0.4,0.462,-0.12,0.451,0.445
label721,0.4,0.442,0.76,0.04,0.559,-0.288,0.219,0.35
label722,0.42,0.25,0.08,0.76,0.121,-0.218,0.122,0.359
label723,0.4,0.414,0.48,0.32,0.444,-0.203,0.261,0.365
label724,0.02,0,0,0.04,0,-0.961,0.038,0.314
label725,0,0,0,0,0,-1,0,0.307
label726,0.42,0.167,0.04,0.8,0.065,-0.246,0.062,0.315
label727,0.02,0,0,0.04,0,-0.961,0.005,0.307
label728,0.08,0.08,0.08,0.08,0.08,-0.84,0.053,0.315
label729,0.06,0.077,0.08,0.04,0.078,-0.881,0.058,0.313
label730,0.24,0.158,0.12,0.36,0.136,-0.536,0.312,0.41
label731,0.26,0.312,0.4,0.12,0.351,-0.5,0.155,0.338
label732,0.54,0.571,0.32,0.76,0.41,0.089,0.424,0.472
label733,0.6,0.667,0.4,0.8,0.5,0.218,0.41,0.507
label734,0.12,0.148,0.16,0.08,0.154,-0.762,0.094,0.327
label735,0.16,0.226,0.28,0.04,0.25,-0.7,0.186,0.353
label736,0.3,0.368,0.56,0.04,0.444,-0.468,0.187,0.34
label737,0.04,0,0,0.08,0,-0.923,0.006,0.307
label738,0.42,0.452,0.76,0.08,0.567,-0.218,0.357,0.426
label739,0.68,0.636,0.84,0.52,0.724,0.38,0.643,0.537
label740,0.16,0.226,0.28,0.04,0.25,-0.7,0.078,0.324
label741,0.02,0.038,0.04,0,0.039,-0.961,0.037,0.313
label742,0.64,0.6,0.84,0.44,0.7,0.306,0.547,0.517
label743,0.12,0.194,0.24,0,0.214,-0.783,0.038,0.309
label744,0.5,0.5,0.28,0.72,0.359,0,0.458,0.452
label745,0.6,0.667,0.4,0.8,0.5,0.218,0.37,0.492
label746,0.6,0.571,0.8,0.4,0.667,0.218,0.582,0.567
label747,0.46,0.478,0.88,0.04,0.62,-0.147,0.051,0.315
label748,0.08,0.08,0.08,0.08,0.08,-0.84,0.043,0.314
label749,0.54,0.583,0.28,0.8,0.378,0.094,0.443,0.564
label750,0.02,0.038,0.04,0,0.039,-0.961,0,0.307
label751,0.26,0.333,0.48,0.04,0.393,-0.535,0.109,0.326
label752,0.18,0.25,0.32,0.04,0.281,-0.667,0.208,0.36
label753,0.54,0.526,0.8,0.28,0.635,0.094,0.365,0.395
label754,0.38,0.406,0.52,0.24,0.456,-0.25,0.214,0.382
label755,0.6,0.667,0.4,0.8,0.5,0.218,0.598,0.629
label756,0.42,0.3,0.12,0.72,0.171,-0.2,0.218,0.385
label757,0.44,0.448,0.52,0.36,0.481,-0.122,0.502,0.563
label758,0.02,0,0,0.04,0,-0.961,0,0.307
label759,0.26,0.2,0.16,0.36,0.178,-0.49,0.115,0.326
label760,0.12,0,0,0.24,0,-0.783,0.048,0.313
label761,0.5,0.5,0.44,0.56,0.468,0,0.485,0.498
label762,0,0,0,0,0,-1,0,0.307
label763,0.52,0.6,0.12,0.92,0.2,0.067,0.226,0.444
label764,0.02,0.038,0.04,0,0.039,-0.961,0,0.307
label765,0.42,0.455,0.8,0.04,0.58,-0.246,0.046,0.315
label766,0.42,0.45,0.72,0.12,0.554,-0.2,0.45,0.46
label767,0.1,0.115,0.12,0.08,0.118,-0.801,0.053,0.316
label768,0.26,0.3,0.36,0.16,0.327,-0.49,0.352,0.517
label769,0.66,0.618,0.84,0.48,0.712,0.343,0.621,0.603
label770,0.48,0.4,0.08,0.88,0.133,-0.067,0.467,0.507
label771,0.5,0.5,0.76,0.24,0.603,0,0.528,0.53
label772,0.54,0.667,0.16,0.92,0.258,0.123,0.528,0.584
label773,0.04,0.04,0.04,0.04,0.04,-0.92,0.037,0.314
label774,0.44,0.465,0.8,0.08,0.588,-0.173,0.245,0.364
label775,0.1,0.045,0.04,0.16,0.043,-0.806,0.04,0.31
label776,0.5,0.5,0.64,0.36,0.561,0,0.314,0.379
label777,0.48,0.333,0.04,0.92,0.071,-0.084,0.256,0.4
label778,0.04,0.04,0.04,0.04,0.04,-0.92,0.04,0.316
label779,0.02,0.038,0.04,0,0.039,-0.961,0.04,0.346
label780,0,0,0,0,0,-1,0,0.307
label781,0.62,0.688,0.44,0.8,0.537,0.257,0.432,0.477
label782,0.24,0.158,0.12,0.36,0.136,-0.536,0.173,0.371
label783,0.5,0.5,0.96,0.04,0.658,0,0.114,0.329
label784,0.56,0.6,0.36,0.76,0.45,0.131,0.43,0.501
label785,0.26,0.227,0.2,0.32,0.213,-0.483,0.126,0.359
label786,0.58,0.625,0.4,0.76,0.488,0.171,0.45,0.613
label787,0.52,0.6,0.12,0.92,0.2,0.067,0.477,0.477
label788,0.08,0.043,0.04,0.12,0.042,-0.843,0.035,0.311
label789,0.52,0.571,0.16,0.88,0.25,0.058,0.342,0.499
label790,0.04,0.074,0.08,0,0.077,-0.923,0.002,0.307
label791,0.2,0.273,0.36,0.04,0.31,-0.633,0.021,0.309
label792,0.08,0.111,0.12,0.04,0.115,-0.843,0.04,0.315
label793,0.48,0.4,0.08,0.88,0.133,-0.067,0.291,0.451
label794,0.58,0.559,0.76,0.4,0.644,0.171,0.341,0.39
label795,0.74,0.875,0.56,0.92,0.683,0.514,0.76,0.811
label796,0.36,0.111,0.04,0.68,0.059,-0.364,0.053,0.347
label797,0.14,0.091,0.08,0.2,0.085,-0.725,0.099,0.357
