label,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
label884,0.38,0.385,0.4,0.36,0.392,-0.24,0.338,0.483
label885,0.38,0.393,0.44,0.32,0.415,-0.242,0.424,0.579
label886,0.6,0.6,0.6,0.6,0.6,0.2,0.718,0.74
label887,0.4,0.391,0.36,0.44,0.375,-0.201,0.39,0.488
label888,0.54,0.55,0.44,0.64,0.489,0.082,0.621,0.613
label889,0.38,0.375,0.36,0.4,0.367,-0.24,0.405,0.533
label890,0.4,0.414,0.48,0.32,0.444,-0.203,0.41,0.508
label891,0.42,0.417,0.4,0.44,0.408,-0.16,0.402,0.519
label892,0.42,0.429,0.48,0.36,0.453,-0.161,0.427,0.494
label893,0.56,0.556,0.6,0.52,0.577,0.12,0.611,0.676
label894,0.3,0.222,0.16,0.44,0.186,-0.417,0.362,0.449
label895,0.34,0.333,0.32,0.36,0.327,-0.32,0.422,0.527
label896,0.4,0.391,0.36,0.44,0.375,-0.201,0.423,0.53
label897,0.44,0.435,0.4,0.48,0.417,-0.12,0.326,0.488
label898,0.5,0.5,0.44,0.56,0.468,0,0.467,0.608
label899,0.56,0.552,0.64,0.48,0.593,0.122,0.614,0.671
label900,0.64,0.652,0.6,0.68,0.625,0.281,0.683,0.75
label901,0.6,0.593,0.64,0.56,0.615,0.201,0.584,0.67
label902,0.48,0.483,0.56,0.4,0.519,-0.041,0.51,0.564
label903,0.56,0.571,0.48,0.64,0.522,0.122,0.478,0.575
label904,0.54,0.542,0.52,0.56,0.531,0.08,0.667,0.683
label905,0.54,0.55,0.44,0.64,0.489,0.082,0.478,0.551
label906,0.62,0.6,0.72,0.52,0.655,0.245,0.545,0.618
label907,0.64,0.667,0.56,0.72,0.609,0.284,0.646,0.654
label908,0.6,0.6,0.6,0.6,0.6,0.2,0.634,0.672
label909,0.42,0.417,0.4,0.44,0.408,-0.16,0.357,0.491
label910,0.6,0.6,0.6,0.6,0.6,0.2,0.597,0.658
label911,0.58,0.611,0.44,0.72,0.512,0.167,0.568,0.65
label912,0.54,0.583,0.28,0.8,0.378,0.094,0.489,0.525
label913,0.42,0.409,0.36,0.48,0.383,-0.161,0.368,0.509
label914,0.42,0.417,0.4,0.44,0.408,-0.16,0.44,0.53
label915,0.32,0.345,0.4,0.24,0.37,-0.365,0.224,0.418
label916,0.54,0.545,0.48,0.6,0.511,0.081,0.539,0.538
label917,0.52,0.519,0.56,0.48,0.538,0.04,0.544,0.615
label918,0.62,0.636,0.56,0.68,0.596,0.242,0.589,0.66
label919,0.52,0.517,0.6,0.44,0.556,0.041,0.48,0.538
label920,0.6,0.619,0.52,0.68,0.565,0.203,0.578,0.629
label921,0.52,0.52,0.52,0.52,0.52,0.04,0.542,0.646
label922,0.42,0.417,0.4,0.44,0.408,-0.16,0.36,0.519
label923,0.4,0.381,0.32,0.48,0.348,-0.203,0.382,0.487
label924,0.5,0.5,0.48,0.52,0.49,0,0.48,0.584
label925,0.56,0.571,0.48,0.64,0.522,0.122,0.557,0.581
label926,0.38,0.364,0.32,0.44,0.34,-0.242,0.363,0.461
label927,0.42,0.433,0.52,0.32,0.473,-0.163,0.405,0.528
label928,0.28,0.238,0.2,0.36,0.217,-0.446,0.195,0.36
label929,0.22,0.231,0.24,0.2,0.235,-0.56,0.188,0.393
label930,0.52,0.522,0.48,0.56,0.5,0.04,0.557,0.635
label931,0.68,0.68,0.68,0.68,0.68,0.36,0.614,0.689
label932,0.46,0.467,0.56,0.36,0.509,-0.082,0.474,0.599
label933,0.62,0.667,0.48,0.76,0.558,0.25,0.637,0.671
label934,0.52,0.517,0.6,0.44,0.556,0.041,0.586,0.685
label935,0.38,0.375,0.36,0.4,0.367,-0.24,0.442,0.529
label936,0.5,0.5,0.56,0.44,0.528,0,0.459,0.542
label937,0.3,0.25,0.2,0.4,0.222,-0.408,0.37,0.43
label938,0.52,0.52,0.52,0.52,0.52,0.04,0.56,0.638
label939,0.54,0.538,0.56,0.52,0.549,0.08,0.542,0.611
label940,0.48,0.478,0.44,0.52,0.458,-0.04,0.465,0.566
label941,0.56,0.56,0.56,0.56,0.56,0.12,0.539,0.618
label942,0.44,0.435,0.4,0.48,0.417,-0.12,0.463,0.515
label943,0.46,0.417,0.2,0.72,0.27,-0.094,0.471,0.495
label944,0.42,0.423,0.44,0.4,0.431,-0.16,0.433,0.535
label945,0.42,0.4,0.32,0.52,0.356,-0.163,0.326,0.475
label946,0.5,0.5,0.6,0.4,0.545,0,0.517,0.594
label947,0.42,0.375,0.24,0.6,0.293,-0.171,0.569,0.565
label948,0.38,0.375,0.36,0.4,0.367,-0.24,0.382,0.497
label949,0.34,0.346,0.36,0.32,0.353,-0.32,0.322,0.452
label950,0.44,0.435,0.4,0.48,0.417,-0.12,0.406,0.461
label951,0.62,0.625,0.6,0.64,0.612,0.24,0.661,0.729
label952,0.42,0.4,0.32,0.52,0.356,-0.163,0.371,0.5
label953,0.4,0.4,0.4,0.4,0.4,-0.2,0.402,0.499
label954,0.54,0.538,0.56,0.52,0.549,0.08,0.487,0.559
label955,0.4,0.368,0.28,0.52,0.318,-0.206,0.33,0.445
label956,0.52,0.522,0.48,0.56,0.5,0.04,0.515,0.628
label957,0.52,0.52,0.52,0.52,0.52,0.04,0.58,0.627
label958,0.4,0.4,0.4,0.4,0.4,-0.2,0.362,0.507
label959,0.64,0.652,0.6,0.68,0.625,0.281,0.602,0.676
label960,0.42,0.417,0.4,0.44,0.408,-0.16,0.417,0.512
label961,0.42,0.417,0.4,0.44,0.408,-0.16,0.488,0.588
label962,0.44,0.444,0.48,0.4,0.462,-0.12,0.44,0.534
label963,0.42,0.429,0.48,0.36,0.453,-0.161,0.354,0.518
label964,0.56,0.565,0.52,0.6,0.542,0.12,0.554,0.671
label965,0.44,0.435,0.4,0.48,0.417,-0.12,0.456,0.528
label966,0.5,0.5,0.52,0.48,0.51,0,0.467,0.531
label967,0.46,0.462,0.48,0.44,0.471,-0.08,0.418,0.528
label968,0.62,0.667,0.48,0.76,0.558,0.25,0.539,0.607
label969,0.42,0.389,0.28,0.56,0.326,-0.167,0.507,0.562
label970,0.56,0.571,0.48,0.64,0.522,0.122,0.534,0.585
label971,0.34,0.318,0.28,0.4,0.298,-0.322,0.286,0.442
label972,0.56,0.565,0.52,0.6,0.542,0.12,0.594,0.655
label973,0.54,0.536,0.6,0.48,0.566,0.081,0.546,0.632
label974,0.34,0.367,0.44,0.24,0.4,-0.327,0.298,0.483
label975,0.44,0.44,0.44,0.44,0.44,-0.12,0.491,0.607
label976,0.38,0.375,0.36,0.4,0.367,-0.24,0.43,0.512
label977,0.48,0.481,0.52,0.44,0.5,-0.04,0.47,0.56
label978,0.54,0.538,0.56,0.52,0.549,0.08,0.554,0.617
label979,0.38,0.364,0.32,0.44,0.34,-0.242,0.406,0.475
label980,0.42,0.429,0.48,0.36,0.453,-0.161,0.428,0.507
label981,0.38,0.333,0.24,0.52,0.279,-0.25,0.403,0.478
label982,0.46,0.455,0.4,0.52,0.426,-0.081,0.466,0.517
label983,0.52,0.522,0.48,0.56,0.5,0.04,0.56,0.602
label984,0.46,0.464,0.52,0.4,0.491,-0.081,0.549,0.619
label985,0.44,0.444,0.48,0.4,0.462,-0.12,0.379,0.54
label986,0.52,0.52,0.52,0.52,0.52,0.04,0.474,0.557
label987,0.46,0.45,0.36,0.56,0.4,-0.082,0.494,0.551
label988,0.44,0.421,0.32,0.56,0.364,-0.124,0.416,0.522
label989,0.52,0.522,0.48,0.56,0.5,0.04,0.601,0.672
label990,0.42,0.409,0.36,0.48,0.383,-0.161,0.446,0.523
label991,0.36,0.37,0.4,0.32,0.385,-0.281,0.394,0.502
label992,0.52,0.522,0.48,0.56,0.5,0.04,0.512,0.622
label993,0.54,0.542,0.52,0.56,0.531,0.08,0.514,0.553
label994,0.48,0.481,0.52,0.44,0.5,-0.04,0.467,0.581
label995,0.5,0.5,0.36,0.64,0.419,0,0.512,0.606
label996,0.38,0.385,0.4,0.36,0.392,-0.24,0.378,0.523
label997,0.54,0.538,0.56,0.52,0.549,0.08,0.602,0.656
label998,0.42,0.417,0.4,0.44,0.408,-0.16,0.442,0.483
label999,0.44,0.429,0.36,0.52,0.391,-0.122,0.491,0.569
