dataset,accuracy,precision,sensitivity,specificity,F1_score,MCC,AUROC,AUPR
dataset1,0.68,0.7142857142857143,0.6,0.76,0.6521739130434783,0.3646984043128985,0.8223999999999999,0.8431019958057759
dataset2,0.74,0.8333333333333334,0.6,0.88,0.6976744186046512,0.5,0.776,0.8168042746139232
dataset3,0.8,0.9411764705882353,0.64,0.96,0.7619047619047621,0.6333004963811236,0.9072,0.8807912001858025
dataset4,0.76,0.8421052631578947,0.64,0.88,0.7272727272727272,0.5356556682297139,0.8464,0.8483636018051378
dataset5,0.84,1.0,0.68,1.0,0.8095238095238095,0.7177405625652734,0.9696,0.9774418842805941
