0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,label
6720416L17Rik,0.380324,0.062132,-0.202993,0.084029,0.257372,-0.224474,0.059233,-0.175095,-0.388642,0.117661,-0.196545,0.289204,0.272123,0.095291,0.063742,0.441324,-0.586032,-0.670654,-0.443450,-0.324236,0.160529,0.182853,0.168046,0.241182,-0.667735,-0.081181,-0.022698,0.490683,0.236129,-0.202642,0.076219,-0.492360,0.149017,-0.200311,0.357350,-0.041001,-0.110333,0.068119,0.567482,-0.401919,0.246643,-0.156301,-0.264342,-0.490227,0.216573,-0.089780,-0.157146,-0.416483,0.371241,0.279065,-0.104828,0.287330,0.122062,0.036815,-0.633553,-0.210727,0.214422,-0.181658,-0.527913,0.047801,-0.144195,0.502840,-0.521364,0.276493,1
AK028326,0.424338,-0.174083,-0.292627,0.166752,0.362302,-0.002111,0.095750,0.005272,-0.211983,0.121295,0.062358,0.161420,0.141674,-0.014232,-0.323073,0.319554,-0.039202,-0.026451,-0.008643,-0.163135,-0.110879,0.132804,-0.117582,0.298179,-0.227791,0.328646,0.281613,0.167163,-0.078424,-0.089029,-0.051012,-0.067045,0.277235,-0.130836,0.417618,0.101412,-0.306393,0.039219,0.309749,0.055827,0.126538,-0.028309,-0.084349,-0.169546,-0.256657,-0.076007,-0.145105,-0.333194,0.201528,0.109834,-0.026546,0.123561,0.147000,0.034017,-0.249661,-0.047843,-0.064002,-0.375977,-0.044212,0.188018,0.143659,0.076076,-0.258094,0.272989,1
Enox,0.375807,-0.006390,-0.323964,0.202777,0.000239,-0.346320,0.229691,-0.317342,-0.512469,-0.017185,-0.039445,0.224281,0.096818,-0.107954,-0.170521,0.413736,-0.553734,-0.650040,-0.173976,0.000052,0.017248,0.061092,0.406089,0.377603,-0.685394,-0.204567,-0.020257,0.449321,0.244587,0.094810,-0.167028,-0.792049,-0.055478,-0.320896,0.409973,-0.084749,-0.145568,0.133720,0.359608,-0.415395,0.241769,-0.376853,-0.080329,-0.194075,0.148132,-0.221140,0.087725,-0.487520,-0.015837,0.072626,-0.318881,0.248566,0.190494,0.113239,-0.516855,-0.031439,0.178507,-0.449245,-0.279133,0.087739,-0.231571,0.503563,-0.498990,0.401760,1
Dnm3os,0.458364,-0.077407,-0.275628,-0.015581,0.074593,-0.309098,-0.098178,0.041751,-0.183774,0.270684,0.140543,0.360015,0.198335,-0.367828,-0.444874,0.589787,-0.787033,-0.483749,-0.498308,-0.398606,0.035400,0.081578,0.169835,0.476451,-0.355318,-0.176107,-0.171852,0.596314,0.083842,-0.392751,0.046625,-0.619334,0.006597,-0.327365,0.135721,-0.108683,-0.426973,0.114788,0.565333,-0.267305,0.131907,0.262685,-0.148104,-0.513121,0.077337,0.099135,0.170599,-0.607497,0.465432,0.493911,-0.452876,-0.045300,0.021724,-0.120331,-0.235023,-0.344390,0.136701,-0.086588,-0.552230,0.111162,-0.275654,0.401658,-0.441047,0.122145,1
Fendrr,0.232873,0.067367,-0.226450,0.010866,0.163484,0.337276,-0.309579,-0.251667,-0.185912,-0.042698,0.011518,0.283800,0.034970,0.240277,-0.134673,0.269300,-0.146677,-0.201850,0.263047,-0.017090,-0.247261,0.532348,0.104439,0.075308,-0.182853,0.672020,0.494041,-0.757213,-0.557444,0.093673,0.653850,-0.167396,0.166066,-0.053267,-0.343865,0.217200,-0.010684,-0.587796,0.697049,0.366820,-0.430264,-0.171527,-0.283170,-0.846095,0.648056,-0.081987,-0.570833,-0.673185,0.591539,-0.444545,-0.363057,-0.462055,0.807422,-0.386492,-0.646186,-0.583854,-0.515033,-0.150532,-0.124739,0.340682,-0.825417,-0.087014,-0.627865,0.007812,1
Gm12750,0.477641,0.111743,-0.338528,0.097967,0.208423,-0.271505,0.254080,-0.171683,-0.328619,-0.007887,0.112618,0.149256,0.460408,-0.354261,-0.214099,0.382890,-0.104079,-0.327493,-0.206137,-0.337814,-0.135968,0.039865,-0.016901,0.317844,-0.471843,0.092643,0.194418,0.347673,-0.108676,0.012665,-0.049578,-0.225091,0.079492,-0.177668,0.243184,0.143905,-0.248450,-0.293763,0.169102,-0.337081,0.166798,0.116706,-0.040760,-0.457565,0.001501,-0.118328,-0.191631,-0.445647,0.421932,0.348346,-0.273725,0.449885,0.227911,-0.276134,-0.439630,0.110001,-0.037990,-0.361845,-0.569655,0.006322,-0.280222,0.105944,-0.139504,0.250386,1
RP23-71K9.4,0.201122,-0.075385,-0.206067,-0.002759,0.365550,0.135245,-0.027355,-0.143339,-0.160540,-0.049756,0.169543,0.094208,0.117701,0.064762,-0.210606,0.373973,-0.075068,-0.123381,-0.120891,-0.209039,-0.067632,0.324170,-0.209836,0.051915,-0.003740,0.351707,0.260381,0.092968,0.112444,-0.189517,-0.113012,-0.018151,0.143525,0.011578,0.391516,0.143244,-0.158891,0.015136,0.304099,-0.084027,0.152976,-0.140817,-0.082419,-0.239845,-0.156513,-0.114961,0.190958,-0.164674,0.204713,0.143519,-0.290337,0.184317,0.160779,0.072812,-0.273312,-0.071978,-0.123953,-0.219225,-0.012077,0.029321,-0.048217,0.141882,-0.166451,0.126906,1
lincRNA-p21,0.039249,-0.087898,-0.304893,-0.168994,0.081614,0.099004,0.085743,-0.253772,-0.310880,0.178505,0.085681,0.129933,0.258226,-0.160338,-0.199551,0.252696,-0.253254,0.011789,-0.165864,-0.161289,-0.074569,0.488695,-0.165602,0.113670,-0.110594,0.380596,0.208168,0.042640,-0.078476,0.014863,0.168979,0.130361,0.109073,0.055749,0.287774,0.167114,-0.409958,-0.100832,0.317080,0.114160,0.143930,-0.251229,0.091928,-0.369106,-0.070074,-0.173883,-0.124933,-0.111329,0.111536,0.388488,-0.227135,0.206699,0.079150,-0.084210,-0.076045,0.105459,-0.254120,-0.207102,-0.193645,-0.258564,-0.063847,0.067743,-0.397249,-0.066023,1
A930011O12Rik,0.250931,-0.372117,-0.539068,0.129049,0.145980,-0.138674,0.042320,0.108258,-0.489319,0.379029,-0.091028,0.134064,0.199170,-0.559583,-0.324238,0.704883,-0.564671,-0.769072,-0.023609,0.314750,-0.059458,-0.035141,0.211245,0.636077,-0.826610,-0.313033,-0.061502,0.615725,0.195485,0.300248,-0.092912,-0.330208,-0.044312,-0.323768,0.748997,0.234816,-0.219367,0.169322,0.598319,0.085011,-0.061431,0.021712,0.058622,-0.309686,0.133458,-0.005900,-0.194497,-0.813742,0.175530,0.046187,0.163201,0.627682,0.245511,0.741991,-0.599973,-0.302138,0.193502,-0.745057,-0.001223,0.464431,0.018801,0.204563,-0.487296,0.989655,1
Braveheart,3.906120,1.041752,-0.255422,2.230948,-0.955645,1.899147,-0.819940,-1.112499,-2.233598,1.507227,0.711748,2.196007,0.863697,-1.142857,-0.665042,0.745223,-0.481895,-1.586208,-0.961061,1.058265,2.180988,1.914843,2.501641,1.454602,-0.077906,-0.884000,-0.206732,-0.164472,0.262544,-2.974273,0.305893,-0.917340,-0.102246,0.197836,2.049899,1.789307,-1.654080,0.527809,0.993490,0.533094,-0.348546,0.432262,-0.716014,-1.246452,0.784157,-0.144467,-0.120691,-1.590820,0.318509,1.470639,-1.839187,1.513053,0.543890,0.505683,0.327382,0.356587,-1.290520,-0.700251,0.211065,0.697951,-0.811646,-0.695450,-1.659582,0.994625,1
