0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,label
NONMMUG038692,-0.121754,0.048106,0.090835,0.045590,0.209154,0.089153,0.039586,0.212401,0.157845,-0.300784,-0.038543,0.343208,-0.163575,-0.116858,0.004679,-0.398254,0.138821,0.737694,0.005808,0.322960,-0.019981,0.211529,0.406029,0.091412,-0.074251,-0.034225,0.082876,0.277189,-0.047193,0.032858,0.065431,0.064234,0
NONMMUG035412,-0.119472,-0.047432,0.107356,0.002372,0.342920,0.085520,0.020566,0.256158,0.162271,-0.290608,-0.025241,0.285918,-0.069714,-0.097557,-0.018460,-0.324236,0.112792,0.734764,0.006819,0.243345,-0.103150,0.182525,0.420793,0.169070,-0.059570,0.062550,0.009336,0.295449,-0.073719,-0.041912,-0.010806,0.109757,0
NONMMUG004366,-0.113851,0.007890,0.238092,-0.014944,0.233216,0.064426,0.073062,0.247325,0.138137,-0.310098,-0.087194,0.289987,-0.103827,-0.011566,-0.040503,-0.363533,0.109539,0.808300,-0.049045,0.257065,-0.040108,0.200183,0.410459,0.206417,-0.013680,0.002612,0.026782,0.249848,0.004354,-0.063166,0.061908,0.041176,0
NONMMUG044302,-0.092919,-0.033952,0.125281,-0.011613,0.294319,0.036802,0.057404,0.260015,0.177869,-0.337289,-0.032650,0.290173,-0.150451,-0.072359,0.010734,-0.311792,0.092200,0.791827,-0.005894,0.300969,-0.111620,0.178643,0.392805,0.214447,0.041087,0.003152,0.047301,0.213048,-0.064785,0.027946,0.018201,0.044595,0
NONMMUG009173,-0.156351,-0.039437,0.159013,0.024745,0.291890,0.067448,0.038178,0.240112,0.184765,-0.296970,-0.037399,0.399124,-0.192086,-0.103022,0.048412,-0.350832,0.006913,0.756974,-0.052341,0.280483,-0.066068,0.112721,0.396718,0.147136,-0.015748,0.022084,-0.067028,0.283658,-0.032682,-0.049976,0.080523,0.027590,0
NONMMUG017372,-0.164522,0.055639,0.170693,-0.006438,0.271749,0.063633,0.078634,0.268369,0.137555,-0.257523,-0.122024,0.268770,-0.142143,-0.051840,0.046134,-0.405444,0.099741,0.796994,-0.070898,0.280563,-0.056551,0.176377,0.403863,0.175635,0.074099,-0.035907,0.009317,0.268084,-0.012686,-0.027562,0.067479,0.039182,0
Gm24010,-0.124261,0.056551,0.110697,-0.019446,0.196052,-0.001473,0.021402,0.291703,0.239808,-0.282222,-0.165785,0.236175,-0.138933,-0.044577,-0.061839,-0.389916,0.145012,0.761138,0.017656,0.322972,-0.068970,0.212233,0.430142,0.161011,-0.079538,-0.015945,0.037259,0.330546,-0.093936,-0.052162,0.058677,0.021711,0
NONMMUG035658,-0.083799,0.004354,0.108414,0.012104,0.236744,0.071934,0.039527,0.217306,0.146985,-0.267153,-0.103628,0.299105,-0.146494,-0.116702,-0.004212,-0.341092,0.146120,0.804196,0.032133,0.303854,-0.107740,0.124914,0.408985,0.212707,0.028160,-0.086869,-0.062906,0.264841,0.000575,-0.050029,0.041383,0.049581,0
NONMMUG020560,-0.122763,0.015363,0.162418,-0.027639,0.198005,0.097846,0.033564,0.252456,0.099106,-0.257467,-0.052514,0.368171,-0.137267,-0.064417,-0.018830,-0.367557,0.096913,0.774179,-0.080956,0.316124,-0.074157,0.165895,0.472945,0.172451,-0.055618,0.038056,0.060529,0.253233,-0.022307,-0.026425,0.049827,0.028653,0
NONMMUG002771,-0.094289,0.033306,0.095460,-0.035338,0.302381,0.096880,-0.016705,0.256710,0.077301,-0.321250,-0.095010,0.289757,-0.104001,-0.137012,-0.033571,-0.327429,0.108987,0.765377,0.030742,0.280859,-0.139177,0.246574,0.410537,0.228003,0.007410,0.012126,0.057085,0.244526,0.015978,-0.054512,0.009277,0.032805,0
NONMMUG043393,-0.092467,-0.100610,0.334305,-0.080268,0.607407,-0.002460,0.106709,0.197986,-0.002304,-0.329795,0.033473,0.455334,-0.162228,-0.278285,-0.193761,-0.223374,0.227323,0.476939,0.076519,0.135860,-0.296769,0.218734,0.191670,0.004598,-0.110294,-0.147028,-0.208677,0.515955,-0.152353,0.134194,-0.085853,0.026694,0
NONMMUG031524,-0.321925,0.017344,-0.052851,-0.278911,0.068862,-0.088885,-0.228883,-0.122094,0.111625,-0.518740,0.176627,0.095266,-0.272804,-0.074127,-0.152210,-0.069265,0.053665,0.890310,0.006991,0.156691,0.015036,-0.145896,0.303939,0.336269,0.136023,0.228032,-0.064195,0.351603,-0.157050,0.035789,-0.489498,0.076168,0
NONMMUG014034,-0.235248,-0.325792,0.345353,-0.011496,-0.039566,0.525561,0.031424,0.188521,0.032577,-0.602902,-0.082305,0.394977,-0.262532,0.086461,0.075845,-0.419258,0.078200,0.662503,0.079012,0.150500,-0.238018,0.246903,0.224602,0.085462,-0.314975,-0.144319,-0.138033,0.192508,0.013550,0.106286,0.163493,-0.039717,0
NONMMUG013706,-0.077104,-0.055569,0.044995,-0.051088,0.052542,0.000709,-0.021547,0.022830,0.352198,-0.207592,-0.141342,0.424818,-0.214682,-0.207361,-0.090918,-0.270432,0.009469,0.851367,-0.219976,0.241294,-0.088381,0.057676,0.310785,0.347983,0.170493,0.181959,0.173464,0.222446,-0.001758,-0.140888,0.065701,0.151905,0
NONMMUG038718,-0.059044,0.091223,0.052209,-0.099353,0.124102,0.000716,-0.045849,-0.011538,0.227345,-0.214138,-0.173168,0.286358,-0.254405,-0.153056,-0.071427,-0.269178,0.018486,0.842386,-0.245603,0.306440,-0.110127,0.092309,0.319033,0.328790,0.193409,0.044028,0.102617,0.239143,0.007442,-0.069970,-0.048098,0.189128,0
Gm12645,-0.094399,0.014618,0.129504,-0.074061,0.038848,-0.097527,-0.059399,-0.026290,0.286497,-0.253147,-0.076630,0.334401,-0.214997,-0.176526,-0.176992,-0.243785,-0.076966,0.844943,-0.184520,0.317007,-0.146187,0.060266,0.412253,0.328057,0.174558,0.184711,0.232695,0.281684,-0.042757,-0.132687,0.039264,0.227386,0
NONMMUG043843,-0.095963,-0.001014,0.112275,-0.093321,0.082288,-0.052934,0.009242,0.029440,0.255029,-0.307992,-0.115256,0.329211,-0.219972,-0.104813,-0.177381,-0.217107,0.047504,0.821866,-0.092304,0.346178,-0.002749,0.070162,0.363837,0.279235,0.149957,0.101365,0.138638,0.208359,0.002995,-0.098313,0.044714,0.132621,0
NONMMUG041948,-0.114323,0.014547,0.010074,-0.170705,0.056749,-0.062698,-0.026201,0.002937,0.258476,-0.280114,-0.151892,0.364962,-0.182683,-0.185574,-0.148022,-0.221146,-0.041137,0.789000,-0.167748,0.263837,-0.175926,0.161952,0.453392,0.336112,0.122235,0.163702,0.167550,0.256207,0.054916,-0.216718,0.025974,0.224206,0
Gm22665,-0.046156,-0.034715,0.078843,-0.057645,0.105279,-0.143090,0.013661,0.022982,0.306719,-0.186389,-0.195925,0.392535,-0.141067,-0.095398,-0.040917,-0.326387,0.035608,0.934928,-0.158517,0.388486,-0.084654,0.058966,0.335543,0.350171,0.189305,0.154592,0.168844,0.176500,0.041394,-0.143026,0.086408,0.214256,0
Gm13574,-0.094558,0.027128,0.072117,-0.068773,0.107368,-0.098688,-0.050371,0.057994,0.335648,-0.259524,-0.138009,0.352802,-0.228018,-0.249658,-0.125441,-0.214983,0.017015,0.849494,-0.209099,0.328394,-0.124959,0.107717,0.333817,0.335543,0.233343,0.060122,0.225074,0.146824,0.045053,-0.034711,0.039400,0.171657,0
NONMMUG034060,-0.029642,-0.040916,0.056837,-0.140044,0.027095,-0.048874,-0.019943,-0.028060,0.205226,-0.194794,-0.125601,0.449004,-0.207833,-0.184770,-0.088008,-0.219950,-0.013365,0.819272,-0.207699,0.419223,-0.121950,0.112529,0.344386,0.327553,0.099780,0.130189,0.089892,0.194305,0.040584,-0.112829,0.033728,0.124595,0
