0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,label
NEAT1,1.265561,0.010871,-0.412711,-0.345948,0.220179,0.995851,-0.411689,-0.723098,-0.814939,-0.428056,0.865018,-0.542429,-0.633934,-0.244830,1.056330,0.692444,0.274261,0.122794,-0.038263,0.156507,0.048492,-0.416476,0.714353,0.011424,-0.689656,0.282710,-0.504625,0.069243,0.279830,-0.962722,0.081241,-0.133958,-0.245635,-0.001065,-0.244047,-0.291516,-0.293435,-0.083630,-0.178221,0.034544,0.279012,0.017126,-0.102361,0.193257,-0.384295,0.134068,0.125243,0.195861,-0.331917,-0.239669,0.061008,0.256083,0.423535,-0.444530,0.053993,-0.183143,-0.333931,0.433785,0.089864,-0.123643,-0.054434,0.526918,0.180697,-0.106902,1
SNHG1,1.031226,0.227668,-0.318001,-0.372445,0.095820,0.544765,0.253522,-0.184972,-0.526298,-0.230521,1.191973,-0.407645,-0.611215,-0.251109,0.969071,0.487741,-0.206267,0.182773,-0.006153,-0.007808,-0.035654,-0.125313,0.141932,0.187067,0.214590,0.052449,-0.184940,0.375556,-0.083259,-0.078421,0.361608,-0.091427,-0.114337,-0.480618,-0.393250,0.101982,-0.010745,0.001963,0.096782,0.291201,-0.048504,0.103293,-0.280807,0.281337,-0.246691,-0.293237,0.010589,0.218986,0.247571,-0.539005,0.542194,-0.133713,0.543625,-0.126825,-0.179009,-0.117872,-0.410599,0.165786,-0.225858,-0.068690,-0.349165,0.281984,-0.195366,-0.088196,1
GAS5,0.925534,0.055977,-0.210566,-0.487293,0.165394,0.699674,0.117016,-0.077517,-0.282965,0.014040,1.229219,-0.482801,-0.702730,-0.146793,1.041640,0.368643,-0.109037,0.234083,0.003105,-0.145820,0.269531,-0.282696,-0.127189,0.033450,0.267264,-0.024301,-0.052734,0.315931,-0.323236,-0.178009,0.216565,0.340364,-0.243172,-0.336179,-0.235942,0.022532,0.253642,-0.116819,-0.051038,0.182098,0.078771,0.096870,-0.142807,0.378445,-0.517064,-0.132961,0.352618,0.180840,0.241689,-0.417458,0.553102,0.043492,0.496474,-0.017379,-0.325554,-0.142152,-0.192102,0.217464,0.186652,-0.079087,-0.191691,0.232148,-0.028650,0.110467,1
SNHG5,0.845765,-0.075913,-0.035987,-0.641019,0.128881,0.557909,0.118520,0.009702,-0.272284,0.000385,1.136358,-0.411099,-0.693628,-0.095629,0.977624,0.538613,-0.110524,0.236843,-0.033448,-0.211479,0.169460,-0.351210,-0.025429,-0.081474,0.355041,-0.097104,-0.050186,0.239455,-0.307700,-0.219325,0.145517,0.420946,-0.244195,-0.227953,-0.190192,0.126521,0.158254,-0.120077,0.034103,0.174961,0.028282,0.098991,-0.239689,0.269559,-0.445998,-0.086745,0.349048,0.048373,0.330171,-0.306574,0.397722,0.037626,0.323586,-0.080061,-0.282445,-0.080686,-0.124015,0.128266,0.279255,-0.050304,-0.177241,0.119716,-0.147262,0.042495,1
XIST,0.918261,-0.010868,-0.184899,-0.656336,0.186801,0.386591,0.344499,-0.107560,-0.294205,-0.077867,1.071185,-0.459244,-0.761549,-0.187989,0.864287,0.471348,-0.032091,0.113331,0.271062,-0.127438,0.057597,0.119554,0.151356,0.005278,0.303420,0.043238,-0.120187,0.225747,-0.220102,-0.138436,0.424715,0.123249,-0.241958,-0.519874,-0.116111,0.144370,0.124628,-0.107965,-0.027558,0.204004,-0.074366,-0.021434,-0.309905,0.321219,-0.410083,0.047109,0.313342,0.413930,0.301959,-0.520728,0.542639,0.002665,0.560444,-0.063053,-0.100792,-0.008162,-0.335158,0.066922,-0.027788,0.039522,-0.349231,0.358349,-0.260756,-0.066942,1
TUG1,0.924965,-0.002365,-0.139952,-0.748571,0.207627,0.292377,0.361701,-0.043940,-0.447918,-0.072135,1.110120,-0.370307,-0.796315,-0.135420,1.002856,0.569927,-0.031321,0.234742,0.253897,-0.173026,0.078404,0.126839,0.091286,0.039307,0.344786,-0.088533,-0.103507,0.175381,-0.159848,-0.174860,0.350051,0.162462,-0.279274,-0.468020,-0.074474,0.025500,0.090071,-0.028576,-0.065255,0.251300,-0.058760,0.163223,-0.355000,0.251962,-0.266790,0.015940,0.206081,0.251274,0.324543,-0.464790,0.475160,0.035689,0.408148,-0.093830,-0.154276,-0.132487,-0.297467,0.141545,-0.061177,0.068031,-0.341426,0.261190,-0.247408,-0.107134,1
RMRP,0.967071,0.099282,-0.153638,-0.708218,0.145316,0.318098,0.300867,0.084993,-0.515402,-0.092659,0.939339,-0.304507,-0.578477,-0.069037,0.785715,0.570518,0.040387,0.016107,0.343347,0.012665,-0.120353,-0.011314,-0.003099,0.191835,0.339326,-0.065806,-0.192511,0.241465,-0.401265,-0.347426,0.201720,0.105513,-0.165888,-0.503290,0.101924,-0.057581,-0.017439,-0.083422,-0.071003,0.200455,-0.028577,0.034478,-0.346319,0.163034,-0.324766,-0.043102,0.027688,0.161989,0.354165,-0.296148,0.336977,0.056749,0.400244,-0.074275,-0.086290,-0.017943,-0.112625,0.034680,-0.045865,0.024161,-0.243990,0.349589,-0.198800,0.037029,1
NONHSAG013514,0.849407,0.124576,-0.043449,-0.744798,0.107552,0.225089,0.271036,0.058169,-0.416346,-0.036577,1.004845,-0.359498,-0.642610,-0.037716,0.776271,0.583944,0.044025,0.062865,0.213573,-0.042090,-0.015944,0.046132,-0.020994,0.196021,0.301109,-0.044546,-0.153645,0.265631,-0.343268,-0.250737,0.140169,0.040650,-0.119409,-0.521048,0.131940,-0.092813,-0.019299,-0.035382,-0.039909,0.252543,0.008576,0.099814,-0.358256,0.208359,-0.160370,-0.033801,0.111618,0.157981,0.296843,-0.302577,0.317231,0.174710,0.412034,-0.029186,-0.113401,0.079375,-0.140063,0.019416,-0.097422,-0.037062,-0.223134,0.350708,-0.155929,-0.016879,1
JPX,0.847121,0.111860,0.000494,-0.794512,0.154152,0.217380,0.308399,0.067511,-0.419667,-0.071771,1.032370,-0.341927,-0.638145,-0.046441,0.817487,0.574262,0.048551,0.069472,0.182993,0.026951,-0.045282,0.004198,-0.001053,0.145180,0.241649,0.053002,-0.188758,0.194883,-0.353415,-0.260900,0.116959,0.075442,-0.112198,-0.459356,0.077985,-0.082791,-0.003769,-0.040659,0.043803,0.231289,0.033778,0.097398,-0.310114,0.203566,-0.142338,-0.009423,0.148420,0.111831,0.303827,-0.244563,0.325284,0.106515,0.387593,-0.045400,-0.083371,0.037171,-0.086607,0.056956,-0.082150,-0.019433,-0.189396,0.391171,-0.288930,-0.018296,1
LINC00657,0.714027,-0.041437,-0.167029,-0.734132,-0.001344,0.359239,0.209211,-0.053797,-0.028078,-0.098820,0.722490,-0.310964,-0.474702,-0.216348,0.573822,0.350893,0.138032,0.169464,0.031810,-0.096179,0.031612,-0.010685,-0.021876,0.109587,0.149923,-0.200906,-0.176590,0.128020,-0.006869,-0.356322,0.174696,0.221320,-0.155772,-0.265086,0.060086,-0.005391,0.057462,0.155010,-0.153981,0.297211,-0.025884,0.350032,-0.179161,-0.079960,-0.132153,-0.012221,-0.055621,0.136768,0.131077,-0.310907,0.246597,-0.325480,0.201899,-0.000495,-0.220054,-0.241114,-0.216653,0.007862,-0.072791,-0.082134,-0.118300,-0.002854,-0.260541,-0.123569,1
