name,score,pred label
NEAT1,0.9999604646142144,1
MALAT1,0.8202502608119132,1
U1,1.0535702739609736,1
SNHG1,0.9995227534160147,1
PVT1,1.330909911757809,1
AC009133.12,1.1223856858606658,1
RP11-473I1.9,0.9881534215761214,1
GAS5,1.2742604994897613,1
RPPH1,1.1514161689397202,1
SNHG3,1.2263916787892062,1
SNHG5,1.2139440959131687,1
RNU12,0.7676656337439909,1
C17orf76-AS1,1.048007758398145,1
XIST,1.1045889276168952,1
RMRP,1.2307079425465415,1
TUG1,1.416534066592878,1
NONHSAG013514,1.0623111055974372,1
ZNF518A,1.0778912177525053,1
JPX,1.180641531873375,1
RP11-33N16.3,0.7316486973543077,1
U2,0.8657393511561315,1
OIP5-AS1,1.1431527335618183,1
LINC00657,1.0383867453600073,1
SEC22B,1.4942469872791597,1
RP11-344E13.3,0.7276475844152415,1
RP11-968A15.8,0.8746969011682839,1
SNHG7,1.1286996115116508,1
SOX2-OT,1.000355248199301,1
RP11-685M7.5,0.9523454244031919,1
RP4-613B23.1,1.0040177633108756,1
AC084018.1,1.0267234081646983,1
PCBP1-AS1,0.9458365690737425,1
RP11-325F22.3,1.215253048253919,1
SNHG12,1.018555546422488,1
SNHG6,1.1618343350127587,1
SCARNA2,0.7768449791138,1
CASC7,1.021734052864307,1
FGD5-AS1,1.1622921567060458,1
SNHG17,1.1820511828752656,1
MCM3AP-AS1,1.1553961701059112,1
TTC28-AS1,1.2398746537399274,1
CASP8AP2,1.136481202817601,1
SCARNA17,1.2359732823724774,1
RP11-386G11.10,0.8905631984796816,1
ZFAS1,1.0933192042261428,1
RP11-440L14.1,1.019907010427855,1
SNHG16,0.8737360955270117,1
CTD-2196E14.4,0.5509056771197941,1
RP1-85F18.6,1.2307929146327972,1
RP4-561L24.3,0.8744111024338261,1
BZRAP1-AS1,0.8734901881156163,1
7SL,0.9664629639846936,1
SNHG8,0.8142595982648202,1
CTB-89H12.4,1.2171204414878993,1
RP11-983P16.4,0.9467398394936546,1
RP11-166B2.8,0.7059422926196777,1
SDCBP2-AS1,1.2204445777473254,1
RP11-227G15.3,0.6827778027348379,1
SNHG10,1.1939329203834093,1
AC073283.4,1.04519360692577,1
SNORA76,0.3035980698727841,1
LINC00324,1.1094167463073528,1
RP11-217B1.2,0.5739834319768501,1
CHD2,1.0482141864244972,1
RP11-84A19.4,0.7889829364778675,1
RP1-184J9.2,0.8017700033458501,1
RP11-304L19.5,0.6969762688369693,1
ZNF33B,0.9875343048625391,1
AC007319.1,1.0088476691673065,1
KCNQ1OT1,1.0003481364198312,1
RP11-603J24.17,0.7054727500863078,1
HOXB-AS1,1.0046502710030907,1
AC015849.19,0.6915899557922145,1
RP11-739N20.2,0.6657087740667333,1
RP4-785G19.5,0.9851101127358695,1
AC004158.2,1.0667499401906677,1
RP11-161H23.5,1.0102527510637485,1
AC009120.6,0.9901882440878016,1
CTD-2047H16.4,1.023417327807846,1
RP3-399L15.3,0.9493992624760716,1
RP11-24N18.1,0.833349492998528,1
NONHSAG017678,0.7342847203909977,1
RP11-119F19.2,0.7649593395289526,1
CTD-2537I9.12,0.8566674597661039,1
LOC92249,1.428248841656289,1
SCARNA9,1.0261561767064116,1
AC015987.1,0.7159563477807196,1
SPPL2B,0.8965954172402701,1
RP11-753H16.3,0.8333637098049866,1
RP1-43E13.2,0.9112272859870802,1
CTB-175E5.7,0.8094905018212057,1
LINC00338,1.0001577200822305,1
AC074117.10,1.057955755916156,1
LINC00894,1.0010991538154452,1
AC018737.1,0.7467390826762511,1
RP11-355B11.2,0.8421304034969155,1
LINC00630,1.1811579122492581,1
RP11-950C14.7,1.070106540429568,1
MIR1539,0.5573121793426398,1
SNORA67,1.0933466448687026,1
AC010226.4,0.8439669142474946,1
PLK1S1,0.8615445787370506,1
PRC1-AS1,0.4473553509751554,1
LINC00511,1.4484693491584344,1
RP11-977G19.5,0.9295979196639428,1
LIMD1-AS1,0.8455765203297206,1
LOC100131564,1.2442758843433954,1
RP11-453F18__B.1,1.188009120448109,1
RP11-1017G21.4,0.7760581444627521,1
SCARNA10,1.0113446042395196,1
RP11-418J17.1,1.0239619211503963,1
RP11-67A1.2,0.7615065655665108,1
KB-1208A12.3,0.9814716598004596,1
RP11-519G16.2,1.12167679463628,1
LINC00669,0.8279577692795886,1
AC007246.3,1.0563373347765372,1
RP11-580I16.2,0.8742832537229306,1
RP11-258C19.5,1.2786210715525277,1
RP11-63M22.2,0.9145459584705435,1
AC107081.5,0.9042216965936853,1
SNORD3A,0.6400798623697559,1
DANCR,1.0551699015220224,1
JRK,1.2903287139137312,1
RP11-69L16.4,0.8545533289658992,1
SNHG15,0.9999503374146534,1
RP5-977B1.11,0.8091395394431973,1
ENTPD1-AS1,0.862134682505749,1
RP11-2B6.3,0.7581752290413262,1
ATP1A1OS,0.810011820857931,1
ZNF761,1.1053828980619653,1
RP11-119K6.6,0.9337778536242296,1
SNORD109A,1.3398840540363641,1
CTD-2571L23.8,1.017288868970127,1
LINC00472,1.0001716586222227,1
RP11-703M24.5,0.5909410843906087,1
AP002954.4,0.8494732705481388,1
RP4-714D9.2,0.7795278589079216,1
POLR2J4,1.2769370688948887,1
AC105402.4,1.06828693353499,1
RP11-885B4.1,0.9920536918689624,1
RP4-803A2.2,0.7461523014442129,1
CTC-338M12.3,1.2769140510993562,1
CROCCP2,1.0108877734942736,1
AC016629.8,0.9920578921871208,1
HIF1A-AS2,0.7175156859744555,1
RP11-203B9.4,0.8474925241670976,1
CTA-85E5.10,0.8577666744782682,1
