name,score,pred_label
CTB-171A8.1,1.0,1
SPAG5-AS1,0.9999999990906847,1
AC017101.10,1.0,1
IDI2-AS1,0.9999844847275097,1
AC018890.6,1.0,1
RP11-298I3.1,1.0,1
RNU11,1.0,1
RP11-362A9.3,1.0,1
RP11-106M3.2,1.0,1
CTB-12A17.3,1.0,1
RP11-944L7.4,1.0,1
RP4-694B14.5,1.0,1
STXBP5-AS1,1.0,1
C22orf43,0.9999999999994342,1
ZNF718,1.0,1
RP11-544A12.4,0.9999999999999982,1
AP000487.6,3.3306935110968536e-18,0
USP3-AS1,1.0,1
TPT1-AS1,1.0,1
TSIX,1.0,1
CTC-457E21.9,1.0,1
GS1-124K5.11,1.0,1
AC016831.7,1.0,1
RP11-336A10.2,1.0,1
ZRANB2-AS1,1.0,1
AC026202.3,0.9999999999364111,1
LINC00534,1.0,1
RP5-842K24.2,0.999999999999998,1
RP3-508I15.18,1.0,1
RP11-143J12.2,0.9999999995150721,1
STAG3L5P,1.0,1
RP11-66N24.4,1.0,1
NOP14-AS1,1.0,1
RP11-206L10.8,1.0,1
RP5-940J5.6,0.9999999999976137,1
RUSC1-AS1,1.0,1
RP11-395P17.11,1.0,1
RP11-638I2.8,1.0,1
RP11-1035H13.2,0.9999999999996638,1
NR2F2-AS1,1.0,1
RP11-37B2.1,1.0,1
AP006621.8,1.0,1
RP11-296I10.3,1.0,1
RP11-474P2.2,1.0,1
RP11-712B9.2,1.0,1
RP1-167A14.2,0.8463005680447012,1
AC073130.3,3.702709790076059e-12,0
RP11-382A20.7,0.9999999999975044,1
AC005042.4,0.999634874308488,1
RP11-770J1.3,0.9998951683263266,1
CRNDE,1.0,1
STARD4-AS1,1.0,1
RP11-707P17.1,0.9999999999998821,1
RP11-307P5.1,1.0,1
ZNRD1-AS1,1.0,1
AC005037.3,1.0,1
AC015849.13,0.9629775772083783,1
BCYRN1,1.0,1
AC083884.8,2.2794831191838823e-18,0
RP4-724E16.2,1.0,1
RP5-977B1.7,1.0,1
RP11-521B24.5,0.9999999999999958,1
XXbac-B461K10.4,1.0,1
SH3BP5-AS1,1.0,1
LINC00470,3.1949411950919622e-12,0
AC012307.3,1.0,1
RP11-106M3.3,1.0,1
RP11-849F2.5,1.0,1
RP4-781K5.2,1.0,1
HOXD-AS1,1.0,1
HCP5,1.0,1
CTD-2201E18.3,1.0,1
GABPB1-AS1,1.0,1
LOC100129931,1.0,1
PTCHD3P1,1.0,1
RP11-452H21.1,1.0,1
RP5-940J5.9,0.9999999999999858,1
IPO9-AS1,0.9999999999880549,1
RP11-475N22.4,1.0,1
RP11-298J20.4,1.0,1
CTC-524C5.2,0.9999999999784006,1
RP11-219B17.1,1.0,1
NONHSAG036921,0.9999999999998517,1
AC005307.3,1.0,1
NR2F1-AS1,1.0,1
AC073871.2,1.0,1
TP73-AS1,1.0,1
RP4-816N1.6,3.4513410272196616e-08,0
hsa-mir-6080,1.0,1
RP1-1J6.2,1.2290777359150532e-08,0
RP5-1027O11.1,1.0,1
SLC7A11-AS1,1.0,1
RP11-108K3.1,1.0,1
RP11-509J21.1,0.999999999999835,1
CTC-338M12.2,1.0,1
RP11-773H22.4,0.9999968036880149,1
RP11-394O4.4,0.6880462719176255,1
RP11-15B17.1,1.0,1
RAB30-AS1,1.0,1
RP11-498C9.2,1.0,1
NONHSAG020671,1.0,1
CTC-425F1.4,0.9999999999999754,1
RP11-442H21.2,0.9999999970985365,1
RP5-886K2.3,1.0,1
RP11-269F19.2,0.5822262268604308,1
RP4-605O3.4,4.2027960826611533e-10,0
RP11-793H13.8,1.0,1
RP11-8L2.1,1.0,1
RP11-6N13.1,1.0,1
MAGI1,1.0,1
CTD-2555O16.2,0.9999999999999978,1
RP11-54O7.14,1.0,1
RP11-156P1.3,1.0,1
RP11-399K21.11,0.999999999999944,1
RP11-120M18.2,1.0,1
AC074391.1,1.0,1
RP11-159D12.2,1.0,1
RP11-316M1.12,1.0,1
NUTM2A-AS1,1.0,1
AC007970.1,1.0,1
RP11-131L23.1,0.9999999999999973,1
AL589743.1,0.08721324521165284,0
AC005592.2,1.0,1
RP5-914P20.5,1.0,1
RP11-566K11.7,3.414519268331705e-06,0
COX10-AS1,1.0,1
RP11-1103G16.1,0.9586948771404461,1
CLDN12,0.9999689945328687,1
UBOX5-AS1,1.0,1
CTA-714B7.5,1.0,1
MIRLET7DHG,0.8738022943807988,1
RP11-328M4.2,1.0,1
RP4-584D14.5,0.9999999999999265,1
CTB-55O6.12,1.0,1
PRR7-AS1,0.9999999999999993,1
LINC00094,0.9999999999985649,1
RP11-537H15.3,1.0,1
PSMD5-AS1,1.0,1
NONHSAG029191,1.0,1
AC069277.2,1.0,1
STX18-AS1,1.0,1
RP11-611O2.5,0.9999999891983814,1
CTD-2007H13.3,0.999999999999776,1
VIM-AS1,1.0,1
MIR210HG,1.0,1
CTC-550B14.7,0.9997094329169537,1
RP11-498C9.3,1.0,1
AP001347.6,1.0,1
RP5-1132H15.1,2.738211496740266e-05,0
AF131217.1,1.0,1
RP11-732M18.3,1.0,1
CTD-2184D3.5,0.9999999999962808,1
CTD-3138B18.5,1.0,1
RP1-168P16.2,1.0,1
AC007566.10,1.0,1
SBF2-AS1,1.0,1
RP11-977G19.11,1.0,1
RP11-311C24.1,1.0,1
RP11-382A20.6,0.9999999999772329,1
CTC-444N24.11,1.4836271910452733e-09,0
AC005616.1,0.9999999999999991,1
RP11-45M22.3,0.9999999999999996,1
RP5-1142A6.2,1.0,1
AC084082.3,1.0,1
NONHSAG038091,1.0,1
CTD-2337A12.1,1.0,1
NONHSAG031079,1.0,1
AC005104.3,1.0,1
RP3-510L9.1,0.9999999999984017,1
SENP3-EIF4A1,1.0,1
RP11-498D10.5,1.0,1
RNF219-AS1,1.0,1
RP11-96H19.1,1.0,1
EAF1-AS1,1.0,1
RP5-872K7.7,0.0033927668131113684,0
RP11-617D20.1,1.0,1
MMP24-AS1,1.0,1
AC010761.8,1.0,1
RP11-513I15.6,1.0,1
CTD-2369P2.5,0.9999999999999516,1
TBC1D14,0.04863262500633131,0
NPSR1-AS1,1.0,1
RP11-173P15.3,1.0,1
RP1-56K13.3,0.9999999999998974,1
RP11-529K1.4,0.9999997100577701,1
PDXDC2P,1.0,1
RP5-821D11.7,1.0,1
NONHSAG004866,1.0,1
LA16c-358B7.3,1.0,1
RP11-215A19.1,1.0,1
AP000487.5,4.940197032470445e-06,0
AC098617.1,1.0,1
AC005152.3,1.0,1
AC104389.28,0.9999753352911687,1
RP11-392P7.6,1.0,1
RP11-420A23.1,1.0,1
RP1-20N2.6,0.9999999999998852,1
AC002116.7,1.0,1
AC004893.11,1.0,1
TPTEP1,0.9999936829812117,1
AC058791.1,1.0,1
RP4-665J23.1,1.0,1
AC007098.1,0.999719337708965,1
HCG17,1.0,1
EFCAB14-AS1,0.9999999999757878,1
CTB-111H14.1,0.9999807836069887,1
RP11-100L22.2,1.0,1
RP11-282O18.3,1.0,1
RP11-611L7.1,1.0,1
RP11-159F24.1,1.0,1
CDKN2B-AS1,1.0,1
LINC00273,1.0,1
